section_index,section_name,rule_id,alt_idx,source,whole_ok,failure_class,input_ok,output_ok,env_ok,exception_ok,input_class,output_class,env_class,exception_class,input_description,output_description,env_description,exception_description,blame
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-dz-ʃ-tʃ,,index_diachronica_original.html:956,True,,True,False,,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | ʒ s₁ s₂ | ^ @ Rule 1, Line 1",,,output
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-aː,,index_diachronica_original.html:961,True,,False,False,True,,unknown_character,unknown_character,,,"Syntax Error: Unknown character 'ː' | a(ː) | ^ @ Rule 1, Line 1","Syntax Error: Unknown character 'ː' | e(ː) | ^ @ Rule 1, Line 1",,,input|output
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-a,,index_diachronica_original.html:963,True,,True,True,False,,,,unknown_character,,,,"Syntax Error: Unknown character '₃' | #Cw_{(d)l,s₃} | ^ @ Rule 1, Line 1",,env
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-w,,index_diachronica_original.html:964,True,,True,True,True,False,,,,unknown_character,,,,"Syntax Error: Unknown character 'ː' | _i(ː) | ^ @ Rule 1, Line 1",exception
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-ʃ,,index_diachronica_original.html:965,True,,True,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₂' | s₂ | ^ @ Rule 1, Line 1",,,output
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-VNC,,index_diachronica_original.html:966,True,,True,False,,,,unknown_character,,,,"Syntax Error: Unknown character 'ː' | VːC[+voice] | ^ @ Rule 1, Line 1",,,output
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_5,,index_diachronica_original.html:976,True,,True,True,False,,,,syntax_other,,,,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '(' | #{s,ʃ,tsʼ}_{k(w),ʔ} | ^ @ Rule 1, Line 1",,env
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o_3,,index_diachronica_original.html:979,True,,True,True,False,,,,syntax_other,,,,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '(' | #{k(ʼ),x}_{t(ʼ),tsʼ} | ^ @ Rule 1, Line 1",,env
6.1.1,Proto-Omotic to North Omotic,North-Omotic-eː,,index_diachronica_original.html:983,True,,False,False,True,,unknown_character,unknown_character,,,"Syntax Error: Unknown character 'ː' | e(ː) | ^ @ Rule 1, Line 1","Syntax Error: Unknown character 'ː' | i(ː) | ^ @ Rule 1, Line 1",,,input|output
6.1.1,Proto-Omotic to North Omotic,North-Omotic-Vː,,index_diachronica_original.html:985,True,,False,True,False,,unknown_character,,unknown_grouping,,"Syntax Error: Unknown character 'ː' | Vː | ^ @ Rule 1, Line 1",,"Syntax Error: Unknown grouping 'K'. Known groupings are (C)onsonant, (O)bstruent, (S)onorant, (P)losive, (F)ricative, (L)iquid, (N)asal, (G)lide, and (V)owel | #K[-voice]_C | ^ @ Rule 1, Line 1",,input|env
6.1.1,Proto-Omotic to North Omotic,North-Omotic-u,,index_diachronica_original.html:986,True,,True,False,True,,,unknown_character,,,,"Syntax Error: Unknown character 'ː' | uː | ^ @ Rule 1, Line 1",,,output
6.1.1,Proto-Omotic to North Omotic,North-Omotic-Vː_2,,index_diachronica_original.html:987,False,unknown_character,False,True,False,,unknown_character,,unknown_character,,"Syntax Error: Unknown character 'ː' | Vː | ^ @ Rule 1, Line 1",,"Syntax Error: Unknown character '+' | #C_C$ + $(V)C$ suffix | ^ @ Rule 1, Line 1",,input|env
6.1.1.1,North Omotic to Bench,Bench-x1,,index_diachronica_original.html:993,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.1,North Omotic to Bench,Bench-x2,,index_diachronica_original.html:994,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.1,North Omotic to Bench,Bench-x2-s3,,index_diachronica_original.html:995,True,,False,False,True,,unknown_character,syntax_other,,,"Syntax Error: Unknown character '₂' | x₂ s₃ | ^ @ Rule 1, Line 1","Syntax Error: The output of a deletion rule must only contain `*` or `∅` | ∅ ʃ | ^ @ Rule 1, Line 1",,,input|output
6.1.1.1,North Omotic to Bench,Bench-sx,,index_diachronica_original.html:997,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {s₁,s₂,s₃} | ^ @ Rule 1, Line 1",,,,input
6.1.1.1,North Omotic to Bench,"Bench-ʔ,hx",,index_diachronica_original.html:998,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {ʔ,h₁,h₂,h₃} | ^ @ Rule 1, Line 1",,,,input
6.1.1.1,North Omotic to Bench,Bench-dʼ,,index_diachronica_original.html:1001,True,,False,True,,,diacritic_prereq,,,,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-voice] | dʼ | ^^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,Dizin-x1,,index_diachronica_original.html:1009,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,Dizin-x2,,index_diachronica_original.html:1010,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,Dizin-x2_2,,index_diachronica_original.html:1011,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,Dizin-sx,,index_diachronica_original.html:1014,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {s₁,s₂,s₃} | ^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,Dizin-s1,,index_diachronica_original.html:1015,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | s₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,"Dizin-h1,h2",,index_diachronica_original.html:1017,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {h₁,h₂} | ^ @ Rule 1, Line 1",,,,input
6.1.1.2,North Omotic to Dizin,Dizin-dʼ,,index_diachronica_original.html:1018,True,,False,True,,,diacritic_prereq,,,,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-voice] | dʼ | ^^ @ Rule 1, Line 1",,,,input
6.1.1.3,North Omotic to Kafa,Kafa-z-zː,,index_diachronica_original.html:1025,True,,False,False,,,unknown_character,unknown_character,,,"Syntax Error: Unknown character 'ː' | z zː | ^ @ Rule 1, Line 1","Syntax Error: Unknown character 'ː' | j dʒː | ^ @ Rule 1, Line 1",,,input|output
6.1.1.3,North Omotic to Kafa,Kafa-x1,,index_diachronica_original.html:1028,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.3,North Omotic to Kafa,Kafa-x2,,index_diachronica_original.html:1029,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.3,North Omotic to Kafa,Kafa-x2_2,,index_diachronica_original.html:1030,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.3,North Omotic to Kafa,"Kafa-s3,ʒ",,index_diachronica_original.html:1031,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₃' | {s₃,ʒ} | ^ @ Rule 1, Line 1",,,,input
6.1.1.3,North Omotic to Kafa,Kafa-s3,,index_diachronica_original.html:1033,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₃' | s₃ | ^ @ Rule 1, Line 1",,,,input
