section_index,section_name,rule_idx,source,manual_mapping
10.2.5,Proto-Malayo-Polynesian to Palauan,31,index_diachronica_original.html:2951,→ ʕ
10.3.5.7,Proto-New Caledonia to Pwapwâ,7,index_diachronica_original.html:3321,bw mw → ɡw ŋw → ɡ ŋ / _V[+ rounded]
10.3.11,Proto-Oceanic to Proto-Southern Vanuatu,12,index_diachronica_original.html:3541,q → kw → v 
11.5.2,Proto-Lezgic to Archi,6,index_diachronica_original.html:3981,ɢ → q
17.2.4,Common Anatolian to Lydian,12,index_diachronica_original.html:5141,w → v → f
17.5.1,Proto-Indo-European to Old Irish,1,index_diachronica_original.html:5499,s → z / C[+voice]_
17.5.1,Proto-Indo-European to Old Irish,10,index_diachronica_original.html:5509,"m̩ n̩ → am an / _{s,({m,j,w})V}"
17.7.2.1.9,Early Northern Middle English to Scots,19,index_diachronica_original.html:5905,ɛː → ɛi → əi
17.7.2.2,West Germanic to Old Low Franconian,7,index_diachronica_original.html:6043,a → ɒ → o
17.7.3.1.3,Old Norse to Shetland Norn,5,index_diachronica_original.html:6481,nd ld → nː lː
17.12.1.1.1,Classical Latin vs. Vulgar Latin,15,index_diachronica_original.html:7338,";; “In contrast, Romanian exhibits"
17.12.1.1.10,Vulgar Latin to Spanish,44,index_diachronica_original.html:8176,"{nts,ndz,rdz}_"
46.5,Old English-to-Scots Vowel Shifts,9,index_diachronica_original.html:14332,ɛː → ɛi → əi
