source,alt_idx,bucket,fields_changed_union,fields_changed_union_paren,ok_before,ok_union,ok_union_paren,failure_class_before,failure_class_union,failure_class_union_paren
index_diachronica_original.html:10564,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:10824,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:1149,,A,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:11518,,B,env,env,False,True,True,nested_brackets,,
index_diachronica_original.html:11552,,B,env,env,False,False,False,nested_brackets,syntax_other,syntax_other
index_diachronica_original.html:11579,,B,exception,exception,False,False,False,nested_brackets,syntax_other,syntax_other
index_diachronica_original.html:11601,,B,env,env,False,False,False,nested_brackets,syntax_other,syntax_other
index_diachronica_original.html:11624,0,B,env,env,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:11624,1,B,env,env,False,False,False,nested_brackets,syntax_other,syntax_other
index_diachronica_original.html:11722,,E,,exception,False,False,False,nested_brackets,nested_brackets,expected_underscore
index_diachronica_original.html:11857,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:12290,,A,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:12394,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:12512,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:12670,,?,,env,True,True,True,,,
index_diachronica_original.html:13844,,?,,stages[0],True,True,True,,,
index_diachronica_original.html:1398,,A,,stages[0],False,False,True,nested_brackets,nested_brackets,
index_diachronica_original.html:14142,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:14327,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:14482,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:1762,,B,exception,exception,False,True,True,nested_brackets,,
index_diachronica_original.html:1903,,B,,env,False,False,True,nested_brackets,nested_brackets,
index_diachronica_original.html:1954,,B,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:2173,,A,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:2336,,?,stages[0],stages[0],False,False,False,unknown_character,unknown_character,unknown_character
index_diachronica_original.html:2398,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:2409,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:2415,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:3124,,A,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:3737,,A,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:4654,,A,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:5048,,A,stages[0],stages[0],False,True,True,nested_brackets,,
index_diachronica_original.html:5454,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:5509,,B,,env,False,False,True,nested_brackets,nested_brackets,
index_diachronica_original.html:5510,,B,,exception,False,False,True,nested_brackets,nested_brackets,
index_diachronica_original.html:5570,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:5803,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:5900,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:6165,,D,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:6192,,B,exception,exception,False,True,True,nested_brackets,,
index_diachronica_original.html:6193,,C,stages[0],stages[0],False,True,True,nested_brackets,,
index_diachronica_original.html:6194,,B,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:6225,,B,exception,exception,False,True,True,nested_brackets,,
index_diachronica_original.html:6226,,B,exception,exception,False,True,True,nested_brackets,,
index_diachronica_original.html:7926,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:8439,,A,stages[0],stages[0],False,False,False,nested_brackets,syntax_other,syntax_other
index_diachronica_original.html:9306,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
index_diachronica_original.html:9842,,E,,,False,False,False,nested_brackets,nested_brackets,nested_brackets
