fixture_id,source,mode,units,spaced_candidate,warnings
parallel-afro,dz ʃ tʃ,defaults,dz | ʃ | tʃ,dz · ʃ · tʃ,PARALLEL; COLLISION
parallel-afro,dz ʃ tʃ,naive_parallel_off,dz | ʃ | tʃ,dz ʃ tʃ,
parallel-afro,dz ʃ tʃ,digraphs_off,d | z | ʃ | t | ʃ,d z · ʃ · t ʃ,PARALLEL; COLLISION
affricate-tʃ,tʃ,defaults,tʃ,tʃ,
affricate-tʃ,tʃ,naive_parallel_off,tʃ,tʃ,
affricate-tʃ,tʃ,digraphs_off,t | ʃ,t ʃ,
affricate-out,dʒ,defaults,dʒ,dʒ,
affricate-out,dʒ,naive_parallel_off,dʒ,dʒ,
affricate-out,dʒ,digraphs_off,d | ʒ,d ʒ,
labial-k,kʷ,defaults,kʷ,kʷ,
labial-k,kʷ,naive_parallel_off,kʷ,kʷ,
labial-k,kʷ,digraphs_off,kʷ,kʷ,
length,aː,defaults,aː,aː,
length,aː,naive_parallel_off,aː,aː,
length,aː,digraphs_off,aː,aː,
matrix,C[+voice],defaults,C | [+voice],C [+voice],
matrix,C[+voice],naive_parallel_off,C | [+voice],C [+voice],
matrix,C[+voice],digraphs_off,C | [+voice],C [+voice],
matrix-space,S[+ voice],defaults,S | [+ | v | o | i | c | e | ],S [+ · v o i c e ],PARALLEL; Unmatched [; COLLISION
matrix-space,S[+ voice],naive_parallel_off,S | [+voice],S [+voice],
matrix-space,S[+ voice],digraphs_off,S | [+ | v | o | i | c | e | ],S [+ · v o i c e ],PARALLEL; Unmatched [; COLLISION
slots,C₁C₂,defaults,C₁ | C₂,C₁ C₂,
slots,C₁C₂,naive_parallel_off,C₁ | C₂,C₁ C₂,
slots,C₁C₂,digraphs_off,C₁ | C₂,C₁ C₂,
identity,V₀V₀,defaults,V₀ | V₀,V₀ V₀,
identity,V₀V₀,naive_parallel_off,V₀ | V₀,V₀ V₀,
identity,V₀V₀,digraphs_off,V₀ | V₀,V₀ V₀,
compound,mV₀nV₀,defaults,m | V₀ | n | V₀,m V₀ n V₀,
compound,mV₀nV₀,naive_parallel_off,m | V₀ | n | V₀,m V₀ n V₀,
compound,mV₀nV₀,digraphs_off,m | V₀ | n | V₀,m V₀ n V₀,
class-vnc,VNC,defaults,V | N | C,V N C,
class-vnc,VNC,naive_parallel_off,V | N | C,V N C,
class-vnc,VNC,digraphs_off,V | N | C,V N C,
set,"{ɣ,q}",defaults,"{ɣ, q}","{ɣ, q}",
set,"{ɣ,q}",naive_parallel_off,"{ɣ, q}","{ɣ, q}",
set,"{ɣ,q}",digraphs_off,"{ɣ, q}","{ɣ, q}",
glued-word,kat,defaults,k | a | t,k a t,
glued-word,kat,naive_parallel_off,k | a | t,k a t,
glued-word,kat,digraphs_off,k | a | t,k a t,
ejective-lab,kʼ kʷʼ,defaults,kʼ | kʷʼ,kʼ · kʷʼ,PARALLEL; COLLISION
ejective-lab,kʼ kʷʼ,naive_parallel_off,kʼ | kʷʼ,kʼ kʷʼ,
ejective-lab,kʼ kʷʼ,digraphs_off,kʼ | kʷʼ,kʼ · kʷʼ,PARALLEL; COLLISION
env-ish,V₁[+high]_V₂,defaults,V₁ | [+high] | _ | V₂,V₁ [+high] _ V₂,
env-ish,V₁[+high]_V₂,naive_parallel_off,V₁ | [+high] | _ | V₂,V₁ [+high] _ V₂,
env-ish,V₁[+high]_V₂,digraphs_off,V₁ | [+high] | _ | V₂,V₁ [+high] _ V₂,
