section_index,section_name,rule_id,alt_idx,source,ok,failure_class,reason,error_token,suggested,description
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-dz-ʃ-tʃ,,index_diachronica_original.html:956,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-dʒ,,index_diachronica_original.html:957,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-t,,index_diachronica_original.html:958,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-ɬ,,index_diachronica_original.html:959,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-f,,index_diachronica_original.html:960,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-aː,,index_diachronica_original.html:961,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-q-ʕ,,index_diachronica_original.html:962,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-a,,index_diachronica_original.html:963,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-w,,index_diachronica_original.html:964,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-ʃ,,index_diachronica_original.html:965,True,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-VNC,,index_diachronica_original.html:966,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-u-o,,index_diachronica_original.html:971,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e,,index_diachronica_original.html:972,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_2,,index_diachronica_original.html:973,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_3,,index_diachronica_original.html:974,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_4,,index_diachronica_original.html:975,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_5,,index_diachronica_original.html:976,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o,,index_diachronica_original.html:977,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o_2,,index_diachronica_original.html:978,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o_3,,index_diachronica_original.html:979,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o_4,,index_diachronica_original.html:980,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o_5,,index_diachronica_original.html:981,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-a,,index_diachronica_original.html:982,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-eː,,index_diachronica_original.html:983,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-Cw,,index_diachronica_original.html:984,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-Vː,,index_diachronica_original.html:985,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-u,,index_diachronica_original.html:986,True,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-N,,index_diachronica_original.html:988,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-x1,,index_diachronica_original.html:993,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-x2,,index_diachronica_original.html:994,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-x2-s3,,index_diachronica_original.html:995,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-tʃ,,index_diachronica_original.html:996,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-sx,,index_diachronica_original.html:997,True,,,,,
6.1.1.1,North Omotic to Bench,"Bench-ʔ,hx",,index_diachronica_original.html:998,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-l,,index_diachronica_original.html:999,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-l_2,,index_diachronica_original.html:1000,True,,,,,
6.1.1.1,North Omotic to Bench,Bench-dʼ,,index_diachronica_original.html:1001,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-pʼ,,index_diachronica_original.html:1006,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-z,,index_diachronica_original.html:1007,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-tsʼ,,index_diachronica_original.html:1008,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-x1,,index_diachronica_original.html:1009,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-x2,,index_diachronica_original.html:1010,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-x2_2,,index_diachronica_original.html:1011,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-ʒ,0,index_diachronica_original.html:1012,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-ʒ,1,index_diachronica_original.html:1012,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-ts,,index_diachronica_original.html:1013,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-sx,,index_diachronica_original.html:1014,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-s1,,index_diachronica_original.html:1015,True,,,,,
6.1.1.2,North Omotic to Dizin,Dizin-ʔ,,index_diachronica_original.html:1016,True,,,,,
