section_index,rule_id,error_token,rule
6.1.1,North-Omotic-Vː_2,+,V:[+long] > V / #C_C$ + $(V)C$ suffix
6.2.2.1.8,Coastal-Hadhrami-Arabic-aː,‘,"a:[+long] > e:[+long] / Form VI (tafa:[+long]‘ala) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions"
6.2.2.1.9,Wādı̄-Hadhrami-Arabic-aː,‘,"a:[+long] > e:[+long] / Form VI (tafa:[+long]‘ala) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions"
6.2.2.1.18,Biblical-Hebrew-—-a_4,_,a > _$$$(…)
8.5.2,"Sakha-aɡ̌ɯ,b-oɡ̌,b,aɡ̌u-uɡ̌,b",̌,"a{ɡ̌,ɡ̌ɯ,b} {o{ɡ̌,b},aɡ̌u} u{ɡ̌,b} > ɰa wo u:[+long]"
8.5.2,Sakha-iɡ̌,̌,iɡ̌ > ɯ:[+long]
9.1.1,"Muong-Khen-n̥j,nj,ɲ̊j,ɲj",̊,"{n̥j,nj,ɲ̊j,ɲj} > ɲ j"
10.2.6.2.1,"Òma-Lóngh-p,t-n",̚,"{p,t} n > c̚ ɲ / {i,ɛ}_#"
10.2.6.2.1,Òma-Lóngh-ŋ,̊,ŋ > ŋ̊ / _#
10.3.5.3,Nemi-Pije-Fwai-n-n̥,̊,n n̥ > ɲ ɲ̊ / _V:[+front]
10.3.8,Tolomako-m-b,̼,"n̼ t̼ > n t / _{a,e,i}"
10.4.1,"Marshallese-ç,s-x",ᵚ,"{ç,s} x > tᵚ"
10.7,"Proto-Rukai-t1,c-d1,z-d3",₁,"{t₁,c} {d₁,z} d₃ > t d ɖ"
10.7,Proto-Rukai-S1-s-d2-*C,₂,S=1 s d₂ *C > s θ ð ts
12.1,"Proto-Abazgi-pʷ,pʲ-pʲː,bˤ-bʷ-pʷʲ-bʷʲ",ː,"{pʷ,pʲ} {pː,pʲː,bˤ} bʷ pʷʲ bʷʲ > p b f tsʲ dzʲ"
12.3,Ubykh-tʷː-tʷʲʼ,ː,"{tː,tʷː} tʷʲ:[+cg] > {t,tʷ} tʷ:[+cg]"
12.3,Ubykh-tsʲː-tsʷː-dzʲ,ː,"{tsː,tsʲː} tsʷ:[+long] dzʲ > ts tsʷ dz"
14.2,Achaemanid-Elamite-r̀,̀,"r̀ > r / V_{V,C}"
14.2,Achaemanid-Elamite-ŕ,ŕ,ŕ > r:[+long] / V_V
14.2,Achaemanid-Elamite-nr̀,̀,nr̀ > nr
14.3.1,Colloquial-Tamil-iː-eː,̣,"i:[+long] e:[+long] > u:[+long] o:[+long] / {m,v,p}_C̣"
15.2.2,Greenlandic-Iñupiaq-Cː,₁,C:[+long] > C // when CV_V in U₁U₂
17.5,Proto-Celtic-—-C1C2,₂,C=1 C=2 > x2 / if C₂ was a plosive or s
17.5.2,Middle-Welsh-mp-nt-ŋk,̊,mp nt ŋk > m̥ n̥ ŋ̊
17.10,Proto-Indo-Iranian-Bʱ1P2,₁,V:[+back]ʱ₁P=2 > B=1 V:[+back]ʱ₂
17.10,"Proto-Indo-Iranian-e,o,o2,N̊",₂,"{e,o,o₂,N̊} > a"
17.10.1,Proto-Indo-Aryan-R̊H,̊,"R̊[-place] > {u,i}[+son,-syll] / _V"
17.10.1,Proto-Indo-Aryan-R̊H_2,̊,"R̊[-place] > {u,i}:[+long][+son,-syll] / _C"
17.10.1,Proto-Indo-Aryan-t-dʱ-n,̣,"t {d,dʱ} n > ʈ {ɖ,ɖʱ} ɳ / C̣_ // _r"
17.10.1,Proto-Indo-Aryan-s-t-dʱ-n,̣,"s t {d,dʱ} n > ʂ ʈ {ɖ,ɖʱ} ɳ / _C̣"
17.11.1,Polish-ŕ,ŕ,ŕ > ʐ // _C[+voice]
17.11.1,Polish-ɕtɕ,͜,"ɕtɕ > js / _{t͜s,s}"
17.11.1,Polish-r̝̊-r̝,̊,r̝̊ r̝ > ʂ ʐ
17.11.1,Polish-dz-ts,͜,dz ts > d͜z t͜s
17.11.1,Polish-rʲ,͜,"rʲ > r / _{s,t͜s,l,w,n,ɲ}"
17.12.1.1.2,Catalan-b,̈,b > v / V̈$_j
17.12.1.1.2,Catalan-C,₂,C > ∅ / C=1 _C=2 // C₂ = L
