section_index,rule_id,error_token,rule
10.1.1,Proto-Bali-Sasak-Sumbawan-HəS,(,"[-place]əP > {hə(N)P,ə(N)P} / #_ | ^ @ Rule 1, Line 1"
10.5,"Proto-Ongan-c,*C,s,*S",*,"{c,*C,s,*P} > c | ^ @ Rule 1, Line 1"
10.8,"Proto-Tsouic-*C,d-j-*R",*,"{*C,d} j [+son,-syll] > c z r | ^ @ Rule 1, Line 1"
11.5.1,Agul-tɬ-tɬː-tɬʼ-tɬːʼ-dɮ,",","tɬ tɬ:[+long] tɬ:[+cg] tɬ:[+long,+cg] dɮ > xʲ x k:[+cg] k:[+long] {,j,xʲ} | ^ @ Rule 1, Line 1"
12.1.2,Tapanta-Abaza-tɕʷʼ-dʑʷ,(,"{tɕʷ:[+cg],tɕʷ} dʑʷ > {tɕ(ʼ),tɕʷ(ʼ),tʃʷ:[+cg],tʃʷ} {dʑ,dʑʷ,dʒʷ} | ^ @ Rule 1, Line 1"
12.1.2,"Tapanta-Abaza-tʷʼ,dʷ",(,"{tʷ:[+cg],tʷ,dʷ} > {tɕ(ʼ),tɕʷ(ʼ),tʃ(ʼ),tʃʷ(ʼ)} {dʒ,dʒʷ,dʑ,dʑʷ} | ^ @ Rule 1, Line 1"
17.5.1,Old-Irish-—-o,(,"o > a / _{(C,0),u}# | ^ @ Rule 1, Line 1"
17.7.2.1.6,Australian-English-æ_2,//,"æ > æ:[+long] / _{n,m,ɡ,ɫ$ // _n,m,ɡ,ɫ}${j,w} or a form of a strong verb | ^^ @ Rule 1, Line 1"
17.7.2.2,Old-Low-Franconian-ai-u,,"ai u > ei ʏ / _(C,0){i,i:[+long],j} (short only | ^ @ Rule 1, Line 1"
17.7.2.2.1,Middle-Dutch-V-long-+stress,>,"V[-long +stress] > V:[+long] / open syllables (ʏ > {œ:[+long],ø:[+long]} here but this is not phonemically important | ^ @ Rule 1, Line 1"
17.7.3.1.1,"Early-Icelandic-n̥n,nn̥",>,"{n̥n,nn̥ > tn̥ / V_ | ^ @ Rule 1, Line 1"
17.7.3.1.1,"Early-Icelandic-r̥n,r̥n̥,rn̥",>,"{r̥n,r̥n̥,rn̥ > tn̥ | ^ @ Rule 1, Line 1"
17.7.3.1.1,"Early-Icelandic-ɬl,ɬː",>,"{ɬl,ɬ:[+long] > tɬ | ^ @ Rule 1, Line 1"
17.7.3.1.3,Shetland-Norn-a_2,//,"a > o / _{C:[-front,+back,+hi,-lo],r} ( // C:[-front,+back,+hi,-lo] = w ?) | ^^ @ Rule 1, Line 1"
17.7.3.1.3,Shetland-Norn-a_2,//,"a > ɔ / _{C:[-front,+back,+hi,-lo],r} ( // C:[-front,+back,+hi,-lo] = w ?) | ^^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-V_5,,"V > ∅ / V:[+stress]$_(C)(C)V(C)# ( | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-∅_3,_,"∅ > d / {n,l,ɲ,z_r | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-j_3,_,"j > ∅ / s_ (s:[+long]_?) | ^ @ Rule 1, Line 1"
17.12.1.1.4,"Italian-skj,stj,sːj",>,"{skj,stj,s:[+long]j > ʃ | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-e_2,(,"e > i / _(C,0)i{C(C,0)V,#} | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-ts,/,"Original z (/ts/?) > dj | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-ɡ_3,/,"ɡ > k / V_ (if /j/ resulted, it dropped after /i/ | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-ɡ_3,/,"ɡ > j / V_ (if /j/ resulted, it dropped after /i/ | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-ɡ_4,,"ɡ > j / _a (in the north and east | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-ɡ_5,/,"ɡ > ɡ / _{o,u/y} | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-sj,(,"ʒ > {i(d)ʒ,(d)ʒ} | ^ @ Rule 1, Line 2"
17.12.1.1.6,Old-Provençal-stʃ_2,(,"stʃ > {i(t)ʃ,(t)ʃ} | ^ @ Rule 1, Line 1"
17.12.1.1.8,Romanian-kj-ɡj,∅,"tʃ {j,∅} (ɡj > is rare) | ^ @ Rule 1, Line 2"
17.13,Proto-Tocharian-Dʱ,ʱ,"{P:[+voice],Pʱ:[+voice]} > P:[-voice] | ^ @ Rule 1, Line 1"
18.3.1,"Makuráp-a/e-e/a-ı̃,ẽ",/,"{a/e} {e/a} {j̃,ẽ} > e a ẽ | ^ @ Rule 1, Line 1"
18.3.2,"Mekens-a/e,e/a-ı̃,ẽ",/,"{a/e,e/a} {j̃,ẽ} > a ẽ | ^ @ Rule 1, Line 1"
18.3.3,Tuparí_2-a/e,/,"{a/e} > e | ^ @ Rule 1, Line 1"
18.3.4,"Wayoró-a/e-e/a-ı̃,ẽ",/,"{a/e} {e/a} {j̃,ẽ} > a e j̃ | ^ @ Rule 1, Line 1"
