section_index,rule_id,error_token,rule
6.1.2.1,"Aari-x1,x2",,"{{ɣ, ɣʷ, xʷ},x} > ɡ | ^ @ Rule 1, Line 1"
8.3,Proto-Mongolic-e-o-u-æ-ø-y,,"e o u æ ø y > {a,e} {o,u} {a,o,u a {a,o,u} {o,u,i} / _Ca | ^ @ Rule 1, Line 1"
15.2.2,"Greenlandic-Iñupiaq-m-n-ŋ-t-ɣ,ʁ«",,"m n ŋ t {{ɣ,ʁ} > {k,q}} / _# | ^ @ Rule 1, Line 1"
17.5.1,Old-Irish-V_3,,"V > ∅ / #%%(_)%(%(_)%) // _[-stress] | ^ @ Rule 1, Line 1"
17.7.2.1.5,American-English-w,,"w > ∅ / C_ɹ for some C (toward(s), quart(er), sword) | ^ @ Rule 1, Line 1"
17.7.3,"Proto-Norse-æ,eːwa",,"{æ,e}:[+long](w(a)) > a:[+long] | ^ @ Rule 1, Line 1"
17.11,Proto-Slavic-k-ɡ-x,,"k ɡ x > tʃ ʒ ʃ / _{{e(i,e:[+long](i}),i,i:[+long]} | ^ @ Rule 1, Line 1"
17.12.1.1.6,"Old-Provençal-sːj,stʃj,stj",,"ʃ > is (except in the west or extreme east, where the outcome was some flavor of (i)(t)ʃ) | ^ @ Rule 1, Line 2"
23.1.1.1.3,Kogi-nVs-dVs,,"nVs dVs > n(V(s)) {ʒ,ʒVʒ} | ^ @ Rule 1, Line 1"
28.1.2,Creek-V1kV2,,"V=1 kV=2 > 2:[+long] / #((C)V(C))(C)_# | ^ @ Rule 1, Line 1"
30.2.1,Proto-Akanic-V+high-+ATRCV+high-ATR,,"V[+high +atr](C(V[+high -atr])) > #(C)V[-high +atr](CV[+high +atr]) / #{L,G}[+dorsal -voice]_ | ^ @ Rule 1, Line 1"
32.1.2,Tataltepec-Chatino-ç,,"ç > ʔ (? Not sure if I:[+cg]m reading the phone(me)s right on this one) | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_2,,"oʔ > {ʊʔ,(i)uʔ?) / {l,C[+cor,+anterior,+dist +strident]}_, in | ^ @ Rule 1, Line 2"
37.1.1,Cherokee-aːwẽː,,"{awẽ,awẽ:[+long],a:[+long]{wẽ,wẽ:[+long]}} > {ama,ama:[+long],a:[+long]{ma,ma:[+long]}} | ^ @ Rule 1, Line 1"
37.1.2.1,Cayuga-”VCCCaCV,,"{V:[+stress](C)CaCV,VC:[+stress](C)CaCV} > {V:[+stress]((C)CaCV,VC:[+stress]((C)CaCV} / _# | ^ @ Rule 1, Line 1"
37.1.2.3,Onondaga-”VːCCVː,,"{V:[+stress](C)V:[+long],VC:[+stress](C)V:[+long],V:[+stress,+long](C)V:[+long],VC:[+stress,+long](C)V:[+long]} > V[-long](C):[+stress]((C)CV[-long] / _# | ^ @ Rule 1, Line 1"
37.1.2.3,Onondaga-”VCCCaCV,,"{V:[+stress](C)CaCV,VC:[+stress](C)CaCV} > {V:[+stress]((C)CaCV,VC:[+stress]((C)CaCV} / _# | ^ @ Rule 1, Line 1"
42.1.1.1,Proto-Finnish-tːsn-kxtx-rn-ln,,"(t(ː))sn {kx,kxtx} rn ln > s:[+long] x:[+long] r:[+long] l:[+long] | ^ @ Rule 1, Line 1"
44.2,Basque-u-ũ,,"u ũ > y ỹ / _r(p(ʰ),β,k(ʰ),ɣ,l,s̺,s̻,ʃ,h) | ^ @ Rule 1, Line 1"
46.19,Southern-United-States-Shift-English-uʊ-oʊ,,"uʊ oʊ > ʉʊ̈ əʊ̈ (a bit of a guesstimate based upon the prose description in the article and the mean-formant-value chart cited from Labov, O:[+delrel]sh & V:[+back]obert (2006)) | ^ @ Rule 1, Line 1"
