section_index,rule_id,error_token,rule
10.3.11.3,Proto-Tanna-s-c-*J,,"s c *{L,G} > {h,z} {s,z} z | ^ @ Rule 1, Line 1"
10.5,Proto-Ongan-ɟ-ɡ-*N-*R,,"ɟ ɡ *N [+son,-syll] > {ɟ,j} {ɟ,ɡ} {l,j} {l,r} | ^ @ Rule 1, Line 1"
12.2,"Proto-Circassian-qʲʷː-qʲʷ-ɢʲʷ,ʁʲʷ-χʲʷ",,"qʲʷ:[+long] qʲʷ ɢʲʷ,ʁʲʷ} χʲʷ > qʷ:[+long] ʔʷ ʁʷ χʷ | ^ @ Rule 1, Line 1"
13.1,Barbareño-R-glottalizedVˀR,,"[+son,-syll][+place]Vˀ[+son,-syll] > ˀ[+son,-syll]V[+son,-syll][+place] / _$ | ^ @ Rule 1, Line 1"
17.2,Common-Anatolian-Dʱ,,"C:[+labial]:[+voice,+spread] > P:[+voice] | ^ @ Rule 1, Line 1"
17.10,Proto-Indo-Iranian-BʱBʱ,,"V:[+back,+spread,+voice]V:[+back]ʱ > V:[+back]V:[+back,+spread,+voice] | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-ndt-ndtʃ-ntʃ-nkt-nf,,"nz),ndʒ} n(t)s {ɲ,int,nt,ntʃ} {nf,f:[+long] > f)} | ^ @ Rule 1, Line 3"
29.1.1.1.1,Ahtna-Vˀ,,"Vˀ > V[+place] | ^ @ Rule 1, Line 1"
29.1.1.1.2,Babine-Vˀ,,"Vˀ > V[+place] | ^ @ Rule 1, Line 1"
29.1.1.1.3,Beaver-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.4,Chilcotin-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.5,Chipewyan-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.6,Dakelh-Vˀ,,"Vˀ > V[+place] | ^ @ Rule 1, Line 1"
29.1.1.1.7,Deg-Hit’an-Vˀ,,"Vˀ > V[+place] | ^ @ Rule 1, Line 1"
29.1.1.1.8,Dena’ina-Vˀ,,"Vˀ > V[+place] | ^ @ Rule 1, Line 1"
29.1.1.1.10,Easter-Gwich’in-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
29.1.1.1.11,Han-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
29.1.1.1.12,Holikachuk-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
29.1.1.1.14,Lower-Koyukon-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
29.1.1.1.16,Upper-Kuskokwim-Kolchan-Vˀ,,"Vˀ > V[+place] | ^ @ Rule 1, Line 1"
29.1.1.1.17,Sarcee-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
29.1.1.1.18,Sekani-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.34,Kaska-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.37,Tanacross-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.38,Lower-Tanana-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
29.1.1.1.41,Northern-Tutchone-Vˀ,,"Vˀ > V:[tone: 55] | ^ @ Rule 1, Line 1"
29.1.1.1.42,Southern-Tutchone-Vˀ,,"Vˀ > V:[tone: 11] | ^ @ Rule 1, Line 1"
36.3.1.1,Laze-N̥V,,"N̥V > hṽ | ^ @ Rule 1, Line 1"
38.1.1.4,"North-Tai-xr-x-x,ɣʷ",,"xr x {x,ɣ}ʷ > r̥ h {w,v,h} | ^ @ Rule 1, Line 1"
44.2,Basque-eð,,"e ?) > j / #_V | ^ @ Rule 1, Line 2"
46.19,Southern-United-States-Shift-English-æ/ɑː,,"æ/ɑ:[+long] > æɪ | ^ @ Rule 1, Line 1"
