section_index,rule_id,error_token,rule
6.2.2.1.13,Western-Libyan-Arabic-∅,,"∅ > ə / :{CCVC_C,CCVVC_C,CCV:[+long]C_C,CCV:[+long]VC_C}: | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ @ Rule 1, Line 1"
6.2.2.1.16,Sudanese-Arabic-uː,,"{u,u:[+long]} > {ɵ,o,ɵ:[+long],o:[+long]} | ^^^^^^^^^^^^^ ^^^^^^^^^^^^^^^^^^^^^^^^^ @ Rule 1, Line 1"
7.3.2,"Gros-Ventre-C,#V-longʔ",,"{C,#,V[-long]}ʔ > {C,#,V:[+long, tone: 51]} / _C | ^ @ Rule 1, Line 1"
17.10.1.1,Central-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
17.10.1.2,Eastern-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
17.10.1.3,Northwestern-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
17.10.1.4,Western-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
28.1.2,Creek-S,,"P > P[+ voice] / V_V | ^^^^^^^^^ @ Rule 1, Line 1"
29.1.1.1.4,Chilcotin-V,,"V > V[+rtr] | ^^^^^^ @ Rule 1, Line 1"
29.1.1.1.19,Proto-Southern-Athabaskan-K,,"C:[-front,+back,+hi,-lo] > P:[-voice]P | ^ @ Rule 1, Line 1"
30.1.1.1,Sebirwa-S,,"P > C:[+labial][+spread] | ^^^^^^^^^ @ Rule 1, Line 1"
30.3.1.1.8,Adángbe-V,,"V > V[+ nas] / N_ | ^^^^^^^ @ Rule 1, Line 1"
35.1.1,Comox-V3ʔ,,"V3ʔ > {V3ʔ,V3:[+long]ʔ} / _# | ^ @ Rule 1, Line 1"
35.1.1,Comox-a3~ə3,,"{a3,ə3} > {ə3,a3} | ^ @ Rule 1, Line 1"
35.1.1,Comox-a3~i3,,"{a3,i3} > i3 | ^ @ Rule 1, Line 1"
35.1.1,Comox-a1~i1,,"{a1,i1} > {a1,ə1} | ^ @ Rule 1, Line 1"
35.1.1,Comox-i3~ə3,,"{i3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.1,Comox-i3~ə1,,"{i3,ə1} > {ə1,i1,i3} | ^ @ Rule 1, Line 1"
35.1.1,Comox-i1~ə1,,"{i1,ə1} > i1 | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-V3h,,"V3h > V3:[+long] / _C | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-V3ʔ,,"V3ʔ > {V3,V3:[+long]} / _# | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-V3ʔ_2,,"V3ʔ > V3:[+long] / _O | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-V3ʔR,,"V3ʔ[+son,-syll] > V3:[+long][+son,-syll] | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-u3~ə3,,"{u3,ə3} > {o3,ə3,a3} | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-a3~ə3,,"{a3,ə3} > {ɛ3,ə3} | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-a3~i3,,"{a3,i3} > ɛ3 | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-i3~e3,,"{i3,e3} > {ə3,i3} | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-i3~ə1,,"{i3,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-i1~ə1,,"{i1,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-V3h,,"V3h > V3:[+long] / _C | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-V03ʔV0,,"V=0 3ʔ{0} > 0 3:[+long] | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-V03ʔV0,,"V=0 3ʔ{0} > 0 3ʔ0 | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-V3ʔR,,"V3ʔ[+son,-syll] > V3ʔ[+son,-syll] / _V | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-V3ʔR,,"V3ʔ[+son,-syll] > V3:[+long][+son,-syll]ʔ / _V | ^ @ Rule 1, Line 1"
35.1.3,"Cowichan-Halkomelem-a3-u3-a1,u1-i1",,"a3 u3 {a1,u1} i1 > ɛ3 a3 ə1 {i1,ə1} | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-a3~ə3,,"{a3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-a3~i3,,"{a3,i3} > a3 | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-a1~i1,,"{a1,i1} > ə1 | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-i3~e3,,"{i3,e3} > {ə3,i3} | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-i3~ə1,,"{i3,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.3,Cowichan-Halkomelem-i1~ə1,,"{i1,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-V3h,,"V3h > V3:[+long] / _C | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-V3ʔ,,"V3ʔ > V3{V:[+long],ʔ} / _O | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-V03ʔV0,,"V=0 3ʔ0 > V3:[+long] | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-V03ʔV0,,"V=0 3ʔ0 > 0 3ʔ0 | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-V3ʔR,,"V3ʔ[+son,-syll] > V3ʔ[+son,-syll] / _V | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-V3ʔR,,"V3ʔ[+son,-syll] > V3:[+long][+son,-syll]ʔ / _V | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-u3~ə3,,"{u3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-a3~ə3,,"{a3,ə3} > {ɛ3,ə3} | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-a3~i3,,"{a3,i3} > {a3,ɛ3} | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-a1~i1,,"{a1,i1} > {ə1,ɛ1} | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-i3~e3,,"{i3,e3} > {ə3,i3} | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-i3~ə1,,"{i3,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.4,Musqueam-Halkomelem-i1~ə1,,"{i1,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-V03ʔV0,,"V=0 3ʔ{0} > 0 3ʔ0 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-a3_2,,"a3 > u3 / _{Cu,C:[+round][-fr,+bk,-hi,-lo],w} | ^ @ Rule 1, Line 1"
35.1.5,Klallam-a1,,"a1 > ə1 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-u3~ə3,,"{u3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-a3~ə3,,"{a3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-a3~i3,,"{a3,i3} > ə3 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-a1~i1,,"{a1,i1} > ə1 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-i3~ə3,,"{i3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-i3~ə1,,"{i3,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.5,Klallam-i1~ə1,,"{i1,ə1} > ə1 | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-V3h,,"V3h > V3{V:[+long],ʔ} / _C | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-u3~ə3,,"{u3,ə3} > a3 | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-a3~ə3,,"{a3,ə3} > {ə3,a3} | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-a1~i1,,"{a1,i1} > i1 | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-i3~ə3,,"{i3,ə3} > {i1,ə1} | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-i3~ə1,,"{i3,ə1} > {i3,i1} | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-i1~ə1,,"{i1,ə1} > {ə1,i1} | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-a1-u3-u1-i1,,"a1 u3 u1 i1 > æ2 o3 o1 i2 | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-u3~ə3,,"{u3,ə3} > o3 | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-a3~ə3,,"{a3,ə3} > æ3 | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-a3~i3,,"{a3,i3} > æ3 | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-a1~i1,,"{a1,i1} > æ2 | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-i3~ə1,,"{i3,ə1} > i3 | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-i1~ə1,,"{i1,ə1} > {i2,ə1} | ^ @ Rule 1, Line 1"
35.1.8,Lummi-Northern-Straits-a1,,"a1 > ə1 | ^ @ Rule 1, Line 1"
35.1.8,Lummi-Northern-Straits-u3~ə3,,"{u3,ə3} > ə1 | ^ @ Rule 1, Line 1"
35.1.8,Lummi-Northern-Straits-a3~ə3,,"{a3,ə3} > ə3 | ^ @ Rule 1, Line 1"
35.1.8,Lummi-Northern-Straits-a3~i3,,"{a3,i3} > ə3 | ^ @ Rule 1, Line 1"
