section_index,rule_id,error_token,rule
6.2.2.1.8,Coastal-Hadhrami-Arabic-aː,‘,"a:[+long] > e:[+long] / Form VI (tafa:[+long]‘ala) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions | ^ @ Rule 1, Line 1"
6.2.2.1.9,Wādı̄-Hadhrami-Arabic-aː,‘,"a:[+long] > e:[+long] / Form VI (tafa:[+long]‘ala) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions | ^ @ Rule 1, Line 1"
6.2.2.1.18,Biblical-Hebrew-—-a_4,_,"a > _$$$(…) | ^ @ Rule 1, Line 1"
8.5.2,"Sakha-aɡ̌ɯ,b-oɡ̌,b,aɡ̌u-uɡ̌,b",̌,"a{ɡ̌,ɡ̌ɯ,b} {oɡ̌,ob,aɡ̌u} u{ɡ̌,b} > ɰa wo u:[+long] | ^ @ Rule 1, Line 1"
8.5.2,Sakha-iɡ̌,̌,"iɡ̌ > ɯ:[+long] | ^ @ Rule 1, Line 1"
9.1.1,"Muong-Khen-n̥j,nj,ɲ̊j,ɲj",̊,"{n̥j,nj,ɲ̊j,ɲj} > ɲ j | ^ @ Rule 1, Line 1"
10.2.6.2.1,"Òma-Lóngh-p,t-n",̚,"{p,t} n > c̚ ɲ / {i,ɛ}_# | ^ @ Rule 1, Line 1"
10.2.6.2.1,Òma-Lóngh-ŋ,̊,"ŋ > ŋ̊ / _# | ^ @ Rule 1, Line 1"
10.3.5.3,Nemi-Pije-Fwai-n-n̥,̊,"n n̥ > ɲ ɲ̊ / _V:[+front] | ^ @ Rule 1, Line 1"
10.3.8,Tolomako-m-b,̼,"n̼ t̼ > n t / _{a,e,i} | ^ @ Rule 1, Line 2"
10.4.1,"Marshallese-ç,s-x",ᵚ,"{ç,s} x > tᵚ | ^ @ Rule 1, Line 1"
10.7,"Proto-Rukai-t1,c-d1,z-d3",₁,"{t₁,c} {d₁,z} d₃ > t d ɖ | ^ @ Rule 1, Line 1"
10.7,Proto-Rukai-S1-s-d2-*C,₂,"S=1 s d₂ *C > s θ ð ts | ^ @ Rule 1, Line 1"
12.1,"Proto-Abazgi-pʷ,pʲ-pʲː,bˤ-bʷ-pʷʲ-bʷʲ",ː,"{pʷ,pʲ} {pː,pʲː,bˤ} bʷ pʷʲ bʷʲ > p b f tsʲ dzʲ | ^ @ Rule 1, Line 1"
12.3,Ubykh-tʷː-tʷʲʼ,ː,"{tː,tʷː} tʷʲ:[+cg] > {t,tʷ} tʷ:[+cg] | ^ @ Rule 1, Line 1"
12.3,Ubykh-tsʲː-tsʷː-dzʲ,ː,"{tsː,tsʲː} tsʷ:[+long] dzʲ > ts tsʷ dz | ^ @ Rule 1, Line 1"
14.2,Achaemanid-Elamite-r̀,̀,"r̀ > r / V_{V,C} | ^ @ Rule 1, Line 1"
14.2,Achaemanid-Elamite-ŕ,ŕ,"ŕ > r:[+long] / V_V | ^ @ Rule 1, Line 1"
14.2,Achaemanid-Elamite-nr̀,̀,"nr̀ > nr | ^ @ Rule 1, Line 1"
14.3.1,Colloquial-Tamil-iː-eː,̣,"{i,i:[+long]} {e,e:[+long]} > {u,u:[+long]} {o,o:[+long]} / {m,v,p}_C̣ | ^ @ Rule 1, Line 1"
15.2.2,Greenlandic-Iñupiaq-Cː,₁,"C:[+long] > C // when CV_V in U₁U₂ | ^ @ Rule 1, Line 1"
17.5,Proto-Celtic-—-C1C2,₂,"C=1 C=2 > x2 / if C₂ was a plosive or s | ^ @ Rule 1, Line 1"
17.5.2,Middle-Welsh-mp-nt-ŋk,̊,"mp nt ŋk > m̥ n̥ ŋ̊ | ^ @ Rule 1, Line 1"
17.10,Proto-Indo-Iranian-Bʱ1P2,₁,"V:[+back]ʱ₁P=2 > B=1 V:[+back]ʱ₂ | ^ @ Rule 1, Line 1"
17.10,"Proto-Indo-Iranian-e,o,o2,N̊",₂,"{e,o,o₂,N̊} > a | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-R̊H,̊,"R̊[-place] > {u,i}[+son,-syll] / _V | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-R̊H_2,̊,"R̊[-place] > {u,i}:[+long][+son,-syll] / _C | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-t-dʱ-n,̣,"t {d,dʱ} n > ʈ {ɖ,ɖʱ} ɳ / C̣_ // _r | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-s-t-dʱ-n,̣,"s t {d,dʱ} n > ʂ ʈ {ɖ,ɖʱ} ɳ / _C̣ | ^ @ Rule 1, Line 1"
17.11.1,Polish-ŕ,ŕ,"ŕ > ʐ // _C[+voice] | ^ @ Rule 1, Line 1"
17.11.1,Polish-ɕtɕ,͜,"ɕtɕ > js / _{t͜s,s} | ^ @ Rule 1, Line 1"
17.11.1,Polish-r̝̊-r̝,̊,"r̝̊ r̝ > ʂ ʐ | ^ @ Rule 1, Line 1"
17.11.1,Polish-dz-ts,͜,"dz ts > d͜z t͜s | ^ @ Rule 1, Line 1"
17.11.1,Polish-rʲ,͜,"rʲ > r / _{s,t͜s,l,w,n,ɲ} | ^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-b,̈,"b > v / V̈$_j | ^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-C,₂,"C > ∅ / C=1 _C=2 // C₂ = L | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-C,₂,"C > ∅ / C=1 _C=2 // C₂ = {r,l} | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-C,₂,"C > ∅ / C=1 _C=2 // C₂ = L | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-k_6,₂,"k > ɡ / V=1 _V=2 // V₂ = ɔ | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-a_3,å,"a > å | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-å-ɛ-ɔ,å,"å ɛ ɔ > a e o / _N | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-tj,—,"djʒ > dz or idz —medial {idz,dz} became {iz,z} | ^ @ Rule 1, Line 4"
17.12.1.1.10,Spanish-/dɾ/-ðɾ,ð,"dɾ [ðɾ] > ɾ / V_V | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"ʝ {[ʝ,dʒ]} > [ʒ | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"ʝ {[ʝ,dʒ]} > dʒ] | ^ @ Rule 1, Line 1"
18.4.8,Sirionó-aN-eN-iN-ɨN-uN,ĩ,"aN eN iN ɨN uN > ã ẽ j̃ {ɨ̃,ĩ} õ / _# | ^ @ Rule 1, Line 1"
20.2.1,ÇHoan-ⁿQʰ-Q͡ɢ,͡,"N Q:[+spread,+voice] Q͡ɢ > {C:[-front:[+spread],+back:[+spread],-hi:[+spread],-lo]:[+spread],[+click]:[+spread]} {C:[-front,+back,-hi,-lo],[+click]} | ^ @ Rule 1, Line 1"
20.2.3,"Southeastern-!Xun-ⁿQʰ-ǀʰ͜q,ǀʰ͜ɢ-Q͡q",͜,"N Q:[+spread,+voice] {ǀ:[+spread,+voice]͜q,ǀ:[+spread,+voice]͜ɢ} Q͡q > ⁿ{C:[-front,+back,-hi,-lo],[+click]}(ʰ) ⁿǀ:[+spread,+voice] {C:[-front,+back,-hi,-lo],[+click]}[+voice] | ^ @ Rule 1, Line 1"
21.2.2.1,Biritai-k,̂,"k > ∅ / _V̂ | ^ @ Rule 1, Line 1"
21.2.2.2,Doutai-V,̂,"V > dz / _V̂ | ^ @ Rule 1, Line 1"
21.2.2.5,Obokuitai-b-C,̚,"b C > b̚ ɡ̚ / _# | ^ @ Rule 1, Line 1"
21.2.2.7,Waritai-k,̂,"k > ∅ / _V̂ | ^ @ Rule 1, Line 1"
25.1.1,Cavineña-*ŕ,ŕ,"*ŕ > r | ^ @ Rule 1, Line 1"
25.1.2,"Chama-r,*ŕ",ŕ,"{r,*ŕ} > {∅,w,j} | ^ @ Rule 1, Line 1"
25.1.3,Reyesano-*ŕ,ŕ,"*ŕ > ∅ | ^ @ Rule 1, Line 1"
25.1.4,Tacana-*ŕ,ŕ,"*ŕ > ∅ | ^ @ Rule 1, Line 1"
28,Muskogean-V,̂,"V > V̂:[+long] / _Cko, ko lost? | ^ @ Rule 1, Line 1"
29.1.1.1.11,Han-n,(,"n > (ⁿ)d / $_V[-nas] | ^ @ Rule 1, Line 1"
29.1.1.1.11,Han-a-ɑ-ə-ʊ,ë,"a ɑ ə ʊ > æ a {ə,ë} o | ^ @ Rule 1, Line 1"
29.1.1.1.17,Sarcee-ɑ́-ə́-ʊ́,́,"ɑ́ ə́ ʊ́ > ɑ̄ ə̄ ʊ̄ | ^ @ Rule 1, Line 1"
29.1.1.1.38,Lower-Tanana-TS-TŠ-TŠᵚ-Q,ᵚ,"P:[-voice]P P:[-voice]ʃ P:[-voice]ʃᵚ {C:[-front,+back,-hi,-lo],[+click]} > P:[-voice][-place] P:[-voice]P P:[-voice]ʂ C:[-front,+back,+hi,-lo] | ^ @ Rule 1, Line 1"
30.1.1,Proto-Bantu_2-d2,₂,"d₂ > d / _ C=2 position | ^ @ Rule 1, Line 1"
30.1.2,Proto-Manenguba-’p-’t-’d/d2-c-’ɟ-’k-ɡ,₂,"p:[+cg] t:[+cg] d:[+cg]/d₂ c ɟ:[+cg] k:[+cg] ɡ > f l ɟ s w k / _ C=1 position | ^ @ Rule 1, Line 1"
30.1.2,Proto-Manenguba-’p-’t-’d/d2-c-’ɟ-’k-ɡ,₂,"p:[+cg] t:[+cg] d:[+cg]/d₂ c ɟ:[+cg] k:[+cg] ɡ > f l ɟ s w / _ C=1 position | ^ @ Rule 1, Line 1"
30.1.2,"Proto-Manenguba-p-t-’t-’d,d2-c-k-’k",₂,"p t t:[+cg] d₂ c k k:[+cg] > b d l ɟ ɡ / _ C=2 position | ^ @ Rule 1, Line 1"
30.2.1.1,"Akan-p,ʋ̃-c-k͜p",͜,"{p,ʋ̃} c k͜p > f s p / #_ | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-V3ʔ,ː,"V:[tone: 55]ʔ > {V:[tone: 55],Vː:[tone: 55]} / _# | ^ @ Rule 1, Line 1"
35.1.9,Saanich-Northern-Straits-V3h,ː,"V:[tone: 55]h > {V:[tone: 55],Vː:[tone: 55]} / _C | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-Cʲ,Ạ,"C:[+cor,+dist] > C {Ạ,F̣}_ | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-Cʲ_2,̣,"C:[+cor,+dist] > C̣ | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-w_2,̣,"w > ∅ / C̣Cʲ_?w | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-∅_3,̣,"∅ > w / C̣_aŋ | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-wʲ_3,̣,"wʲ > w / C̣_oŋ | ^ @ Rule 1, Line 1"
36.1.1.1,Modern-Pekingese-j_2,̣,"j > ∅ / C̣_ | ^ @ Rule 1, Line 1"
36.1.1.1,Modern-Pekingese-kʰ-h,͡,"{k,kʰ} h > {ɕ͡,ɕ͡ʰ} ɕ / _j | ^ @ Rule 1, Line 1"
36.2,Guānhuà-iʔ-iw,̣,"iʔ iw > eʔ ew / C̣_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-y,̣,"y > ɥ / C̣_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_5,̣,"yʔ > ɥʔ / C̣, in -juət-types | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_5,̣,"yʔ > yʔ / C̣, in -juət-types | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_5,̣,"yʔ > uʔ / C̣, in -juət-types | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_6,̣,"yʔ > oʔ / C̣_, in -k-types | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yn,̣,"yn > un / C̣_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-je-jeʔ-yeʔ,̣,"je jeʔ yeʔ > ɛ ɛʔ uɛʔ / C̣_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-jew,̣,"jew > au / {C̣,C̣C}_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-jew_2,̣,"jew > iau // {C̣,C̣C}_ | ^ @ Rule 1, Line 1"
36.2,"Guānhuà-jem,jen",̣,"{jem,jen} > iɛn / sometimes after C̣_ // ʐ_) | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yen,̣,"yen > uɛn / C̣_ | ^ @ Rule 1, Line 1"
36.2,"Guānhuà-jawʔ,wawʔ",̣,"{jawʔ,wawʔ} > ɔʔ / C̣_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-aŋ-jaŋ,̣,"aŋ jaŋ > uaŋ aŋ / C̣_ | ^ @ Rule 1, Line 1"
36.3.2.2.6,Tsa-Ku-Nao-an,ɿ,"an > ɿɛ | ^ @ Rule 1, Line 1"
36.3.2.2.6,Tsa-Ku-Nao-iŋ,ʅ,"iŋ > ʅ | ^ @ Rule 1, Line 1"
37.1.2.1,Cayuga-V1”V2-”V1ːV2,ː,"V=1 V:[+stress]=2 1:[+stress] ː2 > 1:[+stress] 2 1:[+stress] [-long]2 | ^ @ Rule 1, Line 1"
37.1.2.6,Tuscarora-n-r-w-j,̊,"n r w j > n̥ r̥ w̥ j̊ / _{#,O} | ^ @ Rule 1, Line 1"
37.1.2.6.1,Western-Tuscarora-r̥-w̥-j̊,̊,"r̥ w̥ j̊ > s f ʃ | ^ @ Rule 1, Line 1"
38.1.1.1,Ahom-ŋ̊,̊,"ŋ̊ > h | ^ @ Rule 1, Line 1"
38.1.1.2,Saek-ɲ̊,̊,"ɲ̊ > j | ^ @ Rule 1, Line 1"
40.2,Proto-Totonacan-o-o̰,ṵ,"o o̰ > u ṵ | ^ @ Rule 1, Line 1"
40.2,"Proto-Totonacan-e,ɨ-ḛ-ɨ̰",ḛ,"{e,ɨ} {ḛ ɨ̰} > i ḭ | ^ @ Rule 1, Line 1"
42.1,Pre-Finnic-ɤː?-ɑː-æː,ː,"{ɤ,ɤː} ɑ:[+long] æ:[+long] > {ɑ,ɑː} o:[+long] e:[+long] / _[+stress] | ^ @ Rule 1, Line 1"
42.1.1.1,Proto-Finnish-pː-tː-tsː-kː,ˑ,"p:[+long] t:[+long] ts:[+long] k:[+long] > pˑ tˑ tsˑ kˑ | ^ @ Rule 1, Line 1"
42.1.1.1,Proto-Finnish-ts-tsˑ-tsː,ˑ,"ts tsˑ ts:[+long] > s θˑ θ:[+long] | ^ @ Rule 1, Line 1"
43.1,Comanche-∅,ᵤ,"∅ > h / Vᵤ_k | ^ @ Rule 1, Line 1"
43.1,Comanche-s,ₙ,"s > ∅ / Vₙ_ | ^ @ Rule 1, Line 1"
43.2,Hopi-p,ₙ,"p > v / Vₙ_ | ^ @ Rule 1, Line 1"
43.2,Hopi-w_2,ₙ,"w > ŋʷ / ɨₙ_ | ^ @ Rule 1, Line 1"
43.3,Luiseño-p,ₙ,"p > v / {Vₙ,ɨ}_ | ^ @ Rule 1, Line 1"
43.3,Luiseño-k_2,ₙ,"k > q / aₙ_ | ^ @ Rule 1, Line 1"
43.4,Nahuatl-p,ₛ,"p > ∅ / {#,Vₛ}_ | ^ @ Rule 1, Line 1"
43.6,Tohono-O’odham-p,ₛ,"p > w / {#,Vₛ}_ | ^ @ Rule 1, Line 1"
44.2,Basque-u-ũ_2,̻,"u ũ > y ỹ / _{s̻,ts̺,ts̻} | ^ @ Rule 1, Line 1"
44.2,Basque-∅_3,̺,"∅ > e / #_{s̺,s̻}C | ^ @ Rule 1, Line 1"
44.2,Basque-∅_4,̺,"∅ > j / V_{N,s̺,s̻}P | ^ @ Rule 1, Line 1"
44.2,Basque-s̻-ts̻,̻,"s̻ ts̻ > ʃ tʃ / {V:[+front],j}_ | ^ @ Rule 1, Line 1"
44.2,Basque-aʊ,̺,"aʊ > aɪ // _{ɾ,r,s̺,s̻} | ^ @ Rule 1, Line 1"
44.2,Basque-s̻-ts̺,̻,"s̻ ts̺ > s̺ ts̻ | ^ @ Rule 1, Line 1"
44.2,Basque-s̻,̻,"s̻ > s̺ / _{C,#} | ^ @ Rule 1, Line 1"
44.2,Basque-its̺,̺,"its̺ > tʃ / _# | ^ @ Rule 1, Line 1"
44.2,Basque-s̺,̺,"s̺ > tʃ / #_ | ^ @ Rule 1, Line 1"
44.2,Basque-s̺_2,̺,"s̺ > ʃ̺according to Campbell | ^ @ Rule 1, Line 1"
46.14,Pre-Slavic-Vowel-Changes-aj,₂,"aj > æ₂ | ^ @ Rule 1, Line 1"
46.14,Pre-Slavic-Vowel-Changes-aj,₂,"aj > i₂ | ^ @ Rule 1, Line 1"
46.14,Pre-Slavic-Vowel-Changes-u,ɤ,"u > u [ɤ?] | ^ @ Rule 1, Line 1"
47.1,List-1:-Simple-Consonant-Changes-b,#,"b > #c, -nc- | ^ @ Rule 1, Line 1"
