section_index,rule_id,error_token,rule
6.2.2.1.14,Moroccan-Arabic-dʒ,,"dʒ > d / if s or z occur somewhere else in the word | ^ @ Rule 1, Line 1"
6.2.2.1.14,Moroccan-Arabic-dʒ,,"dʒ > ɡ / if s or z occur somewhere else in the word | ^ @ Rule 1, Line 1"
6.2.2.1.14,Moroccan-Arabic-dʒ_2,,"dʒ > ʒ / else | ^ @ Rule 1, Line 1"
6.2.2.1.14,Moroccan-Arabic-s,,"s > ʃ / if ʃ is somewhere in the stem after it | ^ @ Rule 1, Line 1"
6.2.2.1.14,Moroccan-Arabic-z,,"z > ʒ / if ʒ is somewhere in the stem after it | ^ @ Rule 1, Line 1"
7.4,Blackfoot-aː_2,,"a:[+long] > a / else | ^ @ Rule 1, Line 1"
10.3.11.3.1,Kwamera-ə_2,,"ə > e / else | ^ @ Rule 1, Line 1"
17.2,Common-Anatolian-T-h2_3,,"P:[-voice] x > P:[+voice] ɣʷ / V:[+stress, +long] | ^ @ Rule 1, Line 1"
17.2,Common-Anatolian-T-h2_4,,"P:[-voice] x > P:[+voice] ɣʷ / G:[+stress] | ^ @ Rule 1, Line 1"
17.2,Common-Anatolian-t,,"t > z / j | ^ @ Rule 1, Line 1"
17.2.2,Luwian-V_2,,"V > V:[+long] / #%:[+stress] | ^ @ Rule 1, Line 1"
17.5.1,Old-Irish-C…C,/,"C(..)C > ∅ / _# // /l r/ and clusters containing them | ^ @ Rule 1, Line 1"
17.7.2.1.2,Kentish-Middle-English-ɑ-e-o,/,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^ @ Rule 1, Line 1"
17.7.2.1.2,Kentish-Middle-English-Vː_2,,"V:[+long] > V:[-long] / #% before a % with i:[+long] | ^ @ Rule 1, Line 1"
17.7.2.1.3,Midlands-Middle-English-ɑ-e-o,/,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^ @ Rule 1, Line 1"
17.7.2.1.3,Midlands-Middle-English-Vː_2,,"V:[+long] > V:[-long] / #% before a % with i:[+long] | ^ @ Rule 1, Line 1"
17.7.2.1.4,Early-Modern-English-a_2,,"a > æ / else | ^ @ Rule 1, Line 1"
17.7.2.1.8,Northern-Middle-English-ɑ-e-o,/,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^ @ Rule 1, Line 1"
17.7.2.1.8,Northern-Middle-English-Vː_2,,"V:[+long] > V:[-long] / #% before a % with i:[+long] | ^ @ Rule 1, Line 1"
17.7.2.1.12,Southern-Middle-English-ɑ-e-o,/,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^ @ Rule 1, Line 1"
17.7.2.1.12,Southern-Middle-English-Vː_2,,"V:[+long] > V:[-long] / #% before a % with i:[+long] | ^ @ Rule 1, Line 1"
17.7.2.1.12,Southern-Middle-English-e,,"e > ∅ / if another e one syllable previous | ^ @ Rule 1, Line 1"
17.7.3.1,Old-Norse-a_4,/,"a > u / $u / // :{#_#, #<.._>}: | ^ @ Rule 1, Line 1"
17.11.1,Polish-C,/,"C > C:[+cor,+dist] / _V:[+front] // /j ɕ ʑ | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-t_3,",","t > ∅ / :{ʃ,s}: | ^ @ Rule 1, Line 1"
17.12.1.1.3,"French-ei,ɔi",,"{ei,ɔi} > oi / C:[-nas] | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-V_4,",","V > ∅ / , though a often remainedprobably ə | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-a_4,,"a > o in most dialects // Gascon and Languedoc | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-t_3,",","t > ∅ / _# // , though it tended to drop | ^ @ Rule 1, Line 1"
21.2.2.5,Obokuitai-∅,,"∅ > dz / iV | ^ @ Rule 1, Line 1"
22.6,Sorowahá-ʔ,,"ʔ > ∅ / #_, possibly everywhere | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-∅,:,"∅ > 0 / V:[+stress]=0:[tone: 55]_ | ^ @ Rule 1, Line 1"
35.1.6,Lushootseed-Rʔ,,"[+son,-syl]ʔ > ʔ:[+son,-syl] / V:[tone: 55]C | ^ @ Rule 1, Line 1"
35.1.7,Nooksack-∅,:,"∅ > 0 / V:[+stress]=0:[tone: 55]ʔ_ | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-w_2,ʲ,"w > ∅ / C:[+cons, +cor, -ant, -dist]Cʲ_?w | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ,,"yʔ > yɛʔ / {l,C:[+cor,+anterior,+dist +strident]}_ infinals, dialectally | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_3,∅,"yʔ > yʔ / :{∅,C:[+laryngeal]}: | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_3,∅,"yʔ > yɛʔ? / :{∅,C:[+laryngeal]}: | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_5,,"yʔ > ɥʔ / C:[+cons, +cor, -ant, -dist] | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_5,,"yʔ > yʔ / C:[+cons, +cor, -ant, -dist] | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_5,,"yʔ > uʔ / C:[+cons, +cor, -ant, -dist] | ^ @ Rule 1, Line 1"
37.1,Proto-Iroquoian-p_2,,"p > kʷ / else | ^ @ Rule 1, Line 1"
37.2.7.1,Biloxi-p_2,",","p > w / V_V, apparently as a result of some dissimilation, as this appears to be an allophone of p here, II%C | ^ @ Rule 1, Line 1"
38.1.1.3,"Central-Tai-l,r",",","{l,r} > ∅ / n,ɗ_ | ^ @ Rule 1, Line 1"
38.1.1.4,North-Tai-l,",","l > ∅ / {p,pʰ},b_V:[+front] | ^ @ Rule 1, Line 1"
38.1.1.4,North-Tai-l_2,",","l > j / {p,pʰ},b_V | ^ @ Rule 1, Line 1"
38.1.1.5,"Southwest-Tai-l,r",",","{l,r} > ∅ / t,ɗ_ | ^ @ Rule 1, Line 1"
42.1.2,Livonian-Vh,//,"Vh > V:[+long]ɦ / _C, except maybe // _j and/or _ʋ | ^^ @ Rule 1, Line 1"
42.1.2,Livonian-y-ø,,"y ø > i e / else | ^ @ Rule 1, Line 1"
44.2,Basque-Vn,),"Vn > ṽ / _# // for Pouletin) | ^ @ Rule 1, Line 1"
46.19,Southern-United-States-Shift-English-aɪ_4,,"aɪ > a:[+long] / else | ^ @ Rule 1, Line 1"
