section_index,rule_id,error_token,rule
17.10.1.1,Central-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
17.10.1.2,Eastern-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
17.10.1.3,Northwestern-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
17.10.1.4,Western-Middle-Indo-Aryan-C,,"C > C[+voice] / V_V | ^^^^^^^^ @ Rule 1, Line 1"
28.1.2,Creek-S,,"P > P[+ voice] / V_V | ^^^^^^^^^ @ Rule 1, Line 1"
29.1.1.1.4,Chilcotin-V,,"V > V[+rtr] | ^^^^^^ @ Rule 1, Line 1"
29.1.1.1.19,Proto-Southern-Athabaskan-K,,"C:[-front,+back,+hi,-lo] > P:[-voice]P | ^ @ Rule 1, Line 1"
30.1.1.1,Sebirwa-S,,"P > C:[+labial][+spread] | ^^^^^^^^^ @ Rule 1, Line 1"
30.3.1.1.8,Adángbe-V,,"V > V[+ nas] / N_ | ^^^^^^^ @ Rule 1, Line 1"
37.2.6.1,Kansa-V,,"V > V[+nas] / N_ | ^^^^^^ @ Rule 1, Line 1"
44.2,Basque-S,,"P > P[+voice] / #_ | ^^^^^^^^ @ Rule 1, Line 1"
