section_index,rule_id,error_token,rule
6.2.2.1.3,Coptic-r,,"r > l / #(C)_{c,cC}# ? | ^ @ Rule 1, Line 1"
7.4,Blackfoot-e_2,,"e > ∅ / O_ in #% | ^ @ Rule 1, Line 1"
14.3.1,Colloquial-Tamil-l-ɭ,,"l ɭ > l:[+long]ʉ ɭ:[+long]ʉ / _#(C)V[-long] | ^ @ Rule 1, Line 1"
17.7.3.1.2,Orkney-Norn-l_3,,"l > ∅ / _# ? | ^ @ Rule 1, Line 1"
17.10.1.5,"Vedic-Sanskrit-s,ʂ",,"{s,ʂ} > h / _#C[- voice] | ^ @ Rule 1, Line 1"
17.10.1.5,"Vedic-Sanskrit-s,ʂ_2",,"{s,ʂ} > r / _#C[+ voice] | ^ @ Rule 1, Line 1"
17.12.1.1.3,"French-—-m,n",,"{m,n} > ∅ / _# in polysyllables | ^ @ Rule 1, Line 1"
17.12.1.1.5,"Portuguese-e,i",,"{e,i} > ∅ / {l,m,r}_ when between #% and %[+stress] | ^ @ Rule 1, Line 1"
17.12.1.1.5,"Portuguese-e,i_2",,"{e,i} > ∅ / k_t when between #% and %[+stress] | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-a_2,,"a > a / _# in monosyllables and oxytones | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-n_3,,"n > ∅ / r_(s)#? | ^ @ Rule 1, Line 1"
17.12.1.1.8,"Romanian-m,n,s",,"{m,n,s} > ∅ / _# in polysyllables | ^ @ Rule 1, Line 1"
29.1.1.1.7,Deg-Hit’an-R-F,,"[+son,-syll] F > [+son,-syll, -voice] F:[-voice] / _# in suffixes | ^ @ Rule 1, Line 1"
42.1,Pre-Finnic-ŋ_2,,"ŋ > n / _# else | ^ @ Rule 1, Line 1"
