section_index,section_name,rule_id,alt_idx,source,ok,failure_class,error_token,suggested,expected,description
6.1.2.1,South Omotic to Aari,"Aari-x1,x2",,index_diachronica_original.html:1149,False,nested_brackets,,,,"Syntax Error: Cannot have nested brackets of the same type | {{ɣ, ɣʷ, xʷ},x} > ɡ | ^ @ Rule 1, Line 1"
6.2.1.1.4,Proto-Agaw to Xamtanga,Xamtanga-k,0,index_diachronica_original.html:1221,False,panic_other,,,,thread panicked at src/rule/subrule/substitution.rs
6.2.2.1.2,Proto-Boreafrasian to Egypto-Berber,Egypto-Berber-CVʕ,,index_diachronica_original.html:1266,False,expected_number,ɡ,,number,"Syntax Error: Expected number, but received ɡ | CVʕ > ħʔ // C = ɡw | ^ @ Rule 1, Line 1"
6.2.2.1.2,Proto-Boreafrasian to Egypto-Berber,Egypto-Berber-r_2,,index_diachronica_original.html:1286,False,expected_number,{,,number,"Syntax Error: Expected number, but received { | r > ʔ / C_{t,w,j}# // C = {ɡ,m,n,r,w,ʃ,x} | ^ @ Rule 1, Line 1"
6.2.2.1.3,Ancient Egyptian to Coptic,Coptic-r,,index_diachronica_original.html:1300,False,stuff_after_word_bound,,,,"Syntax Error: Cannot have segments after the end of a word | r > l / #(C)_{c,cC}# ? | ^ @ Rule 1, Line 1"
6.2.2.1.13,Classical Arabic to Western Libyan Arabic,Western-Libyan-Arabic-∅,,index_diachronica_original.html:1462,False,grouped_env_insertion,,,,"Runtime Error: Grouped Environments cannot (yet) be used in insertion rules | ∅ > ə / :{CCVC_C,CCVVC_C,CCV:[+long]C_C,CCV:[+long]VC_C}: | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ @ Rule 1, Line 1"
6.2.2.1.16,Classical Arabic to Sudanese Arabic,Sudanese-Arabic-uː,,index_diachronica_original.html:1496,False,uneven_parallel_sets,,,,"Runtime Error: Two matched sets must have the same number of elements | {u,u:[+long]} > {ɵ,o,ɵ:[+long],o:[+long]} | ^^^^^^^^^^^^^ ^^^^^^^^^^^^^^^^^^^^^^^^^ @ Rule 1, Line 1"
7.1,Proto-Algonquian to Kennebec River Abenaki,Kennebec-River-Abenaki-w_2,,index_diachronica_original.html:1606,False,expected_number,C,,number,"Syntax Error: Expected number, but received C | w > ∅ / C_ // C = C:[-front,+back,+hi,-lo] | ^ @ Rule 1, Line 1"
7.2,Proto-Algonquian to St. Francis Abenaki,St.-Francis-Abenaki-w_2,,index_diachronica_original.html:1632,False,expected_number,C,,number,"Syntax Error: Expected number, but received C | w > ∅ / C_ // C = C:[-front,+back,+hi,-lo] | ^ @ Rule 1, Line 1"
7.3.1,Proto-Arapaho-Atsina to Arapaho,Arapaho-V-longN,,index_diachronica_original.html:1684,False,syntax_other,,,,"Syntax Error: Options can only be used in Environments or Structures | (V[-long])N > ∅ / _# | ^^^^^^^^^^ @ Rule 1, Line 1"
7.3.2,Proto-Arapaho-Atsina to Gros Ventre,Gros-Ventre-j,,index_diachronica_original.html:1699,False,expected_underscore,",",,_,"Syntax Error: Expected '_', but received ',' | j > ∅ / :{ʃ,θ}: | ^ @ Rule 1, Line 1"
7.3.2,Proto-Arapaho-Atsina to Gros Ventre,Gros-Ventre-V-longN,,index_diachronica_original.html:1704,False,syntax_other,,,,"Syntax Error: Options can only be used in Environments or Structures | (V[-long])N > ∅ / _# | ^^^^^^^^^^ @ Rule 1, Line 1"
7.4,Proto-Algonquian to Blackfoot,Blackfoot-e_2,,index_diachronica_original.html:1758,False,stuff_after_word_bound,,,,"Syntax Error: Cannot have segments after the end of a word | e > ∅ / O_ in #% | ^ @ Rule 1, Line 1"
7.4,Proto-Algonquian to Blackfoot,Blackfoot-aː_2,,index_diachronica_original.html:1763,False,expected_underscore,,,_,"Syntax Error: Expected '_', but received '' | a:[+long] > a / else | ^ @ Rule 1, Line 1"
7.9,Proto-Algonquian to Swampy Cree,Swampy-Cree-ʃ,,index_diachronica_original.html:1868,False,expected_underscore,,,_,"Syntax Error: Expected '_', but received '' | ʃ > s / Gest Pwampy Cree | ^ @ Rule 1, Line 1"
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-ʔ,,index_diachronica_original.html:1907,False,expected_number,l,,number,"Syntax Error: Expected number, but received l | ʔ > h / _C // C = l, or when reduplicated | ^ @ Rule 1, Line 1"
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-V,,index_diachronica_original.html:1915,False,expected_underscore,",",,_,"Syntax Error: Expected '_', but received ',' | V > ∅ / _# // some monosyllables and analogical developments, in the latter of which long vowels were shortened | ^ @ Rule 1, Line 1"
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-ə+weak,,index_diachronica_original.html:1917,False,unknown_feature,weak,man,,"Syntax Error: Unknown feature 'weak'. Did you mean man? | ə[+weak] > ∅ / #_C | ^^^^^ @ Rule 1, Line 1"
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-ə+weak_2,,index_diachronica_original.html:1918,False,unknown_feature,weak,man,,"Syntax Error: Unknown feature 'weak'. Did you mean man? | ə[+weak] > ∅ / _C[+voice] | ^^^^^ @ Rule 1, Line 1"
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-a+weak-ə+weak,,index_diachronica_original.html:1919,False,unknown_feature,weak,man,,"Syntax Error: Unknown feature 'weak'. Did you mean man? | a[+weak] ə[+weak] > ə / a_[+cont][+voice] | ^^^^^ @ Rule 1, Line 1"
7.15,Proto-Algonquian to Ojibwe,"Ojibwe-j,wV-long",,index_diachronica_original.html:2021,False,syntax_other,,,,"Syntax Error: Only a segment, matrix, group, or reference can be negated | {j,w}V[-long] > ∅ / C_# in disyllables with V:[+long] or in tri(-plus-)syllables | ^^ @ Rule 1, Line 1"
8.3,Proto-Altaic to Proto-Mongolic,Proto-Mongolic-e-o-u-æ-ø-y,,index_diachronica_original.html:2173,False,nested_brackets,,,,"Syntax Error: Cannot have nested brackets of the same type | e o u æ ø y > {a,e} {o,u} {a,o,u a {a,o,u} {o,u,i} / _Ca | ^ @ Rule 1, Line 1"
8.3,Proto-Altaic to Proto-Mongolic,Proto-Mongolic-b,,index_diachronica_original.html:2183,False,multiple_underlines_env,,,,"Syntax Error: Cannot have multiple underlines in an environment | b > h / _ // {r,rʲ,l,lʲ}_ or _ɡ | ^ @ Rule 1, Line 1"
8.3,Proto-Altaic to Proto-Mongolic,Proto-Mongolic-pʰ_3,,index_diachronica_original.html:2186,False,unknown_feature,highpitch,high,,"Syntax Error: Unknown feature 'highpitch'. Did you mean high? | pʰ > b / #_%[+high pitch] | ^^^^^^^^^^^ @ Rule 1, Line 1"
8.4,Proto-Altaic to Proto-Tungusic,Proto-Tungusic-U-long-+low-pitch-U+long-low-pitch,,index_diachronica_original.html:2241,False,unknown_feature,lowpitch,voice,,"Syntax Error: Unknown feature 'lowpitch'. Did you mean voice? | %[-long +low pitch] %[+long -low pitch] > %[+long] %[-long] | ^^^^^^^^^^ @ Rule 1, Line 1"
8.5.1,Proto-Turkic to Proto-Kypchak,Proto-Kypchak-ɡm-rɡ,,index_diachronica_original.html:2291,False,missing_slash_output_env,),,end of line,"Syntax Error: Expected end of line, received ')'. Did you forget a '/' between the output and environment? | mɡ ɡr > rɡ but it might be a typo) | ^ @ Rule 1, Line 2"
10.1.1,Proto-Malayo-Polynesian to Proto-Bali-Sasak-Sumbawan,Proto-Bali-Sasak-Sumbawan-HəS,,index_diachronica_original.html:2540,False,expected_ipa,(,,IPA character,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '(' | [-place]əP > {hə(N)P,ə(N)P} / #_ | ^ @ Rule 1, Line 1"
10.1.2.7.2,Proto-Kalamian to Karamiananen,Karamiananen-s_4,,index_diachronica_original.html:2716,False,missing_slash_output_env,&,,end of line,"Syntax Error: Expected end of line, received '&'. Did you forget a '/' between the output and environment? | s > c& _ | ^ @ Rule 1, Line 1"
10.2.2,Proto-Malayo-Polynesian to Chamorro,Chamorro-i-u_2,,index_diachronica_original.html:2808,False,segments_before_word,,,,"Syntax Error: Cannot have segments before the beginning of a word | i u > e o / CC# | ^ @ Rule 1, Line 1"
10.2.6.1,Proto-North Sarawak to Kiput,Kiput-V+stress,,index_diachronica_original.html:2989,False,expected_number,ə,,number,"Syntax Error: Expected number, but received ə | V[+stress] > V:[+long] / _C# // V = ə and/or C = h | ^ @ Rule 1, Line 1"
10.2.6.1,Proto-North Sarawak to Kiput,Kiput-əi̯-əu̯,,index_diachronica_original.html:3002,False,expected_underscore,,,_,"Syntax Error: Expected '_', but received '' | əi̯ əu̯ > ai̯ au̯ // O[+voice] earlier in the word | ^ @ Rule 1, Line 1"
10.2.6.2.1,Proto-Kenyah to Òma Lóngh,"Òma-Lóngh-p,t-n",,index_diachronica_original.html:3050,False,unknown_character,̚,,,"Syntax Error: Unknown character '̚' | {p,t} n > c̚ ɲ / {i,ɛ}_# | ^ @ Rule 1, Line 1"
10.2.6.2.1,Proto-Kenyah to Òma Lóngh,Òma-Lóngh-ŋ,,index_diachronica_original.html:3057,False,unknown_character,̊,,,"Syntax Error: Unknown character '̊' | ŋ > ŋ̊ / _# | ^ @ Rule 1, Line 1"
