section_index,section_name,rule_id,alt_idx,source,ok,failure_class,error_token,suggested,expected,description
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-dz-ʃ-tʃ,,index_diachronica_original.html:956,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-dʒ,,index_diachronica_original.html:957,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-t,,index_diachronica_original.html:958,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-ɬ,,index_diachronica_original.html:959,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-f,,index_diachronica_original.html:960,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-aː,,index_diachronica_original.html:961,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-q-ʕ,,index_diachronica_original.html:962,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-a,,index_diachronica_original.html:963,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-w,,index_diachronica_original.html:964,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-ʃ,,index_diachronica_original.html:965,1,,,,,
6.1,Proto-Afro-Asiatic to Proto-Omotic,Proto-Omotic-VNC,,index_diachronica_original.html:966,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-u-o,,index_diachronica_original.html:971,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e,,index_diachronica_original.html:972,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_2,,index_diachronica_original.html:973,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_3,,index_diachronica_original.html:974,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_4,,index_diachronica_original.html:975,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e_5,,index_diachronica_original.html:976,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o,,index_diachronica_original.html:977,1,,,,,
6.1.1,Proto-Omotic to North Omotic,North-Omotic-e-o_2,,index_diachronica_original.html:978,1,,,,,
