section_index,section_name,rule_id,source,manual_mapping
6.2.1.1.1,Proto-Agaw to Awngi,"Awngi-x,ɢʷ",index_diachronica_original.html:1185," / #_, _#"
6.2.1.1.2,Proto-Agaw to Blin,"Blin-x,ɢʷ",index_diachronica_original.html:1195," / #_, _#"
6.2.1.1.3,Proto-Agaw to Kemantney,"Kemantney-x,ɢʷ",index_diachronica_original.html:1204," / #_, _#"
6.2.1.1.4,Proto-Agaw to Xamtanga,"Xamtanga-xʷ,ɢʷ",index_diachronica_original.html:1218," / #_, _#"
6.2.2.1.5,Proto-Semitic to Classical Arabic,Classical-Arabic-s,index_diachronica_original.html:1321, / 
6.2.2.1.5,Proto-Semitic to Classical Arabic,"Classical-Arabic-Vj,wV",index_diachronica_original.html:1326, / sporadic ; some sequences
6.2.2.1.6,Classical Arabic to Cypriot Arabic,Cypriot-Arabic-a_6,index_diachronica_original.html:1370, sporadic ; in the feminine ending
6.2.2.1.7,Classical Arabic to Egyptian Arabic,Egyptian-Arabic-dˤ,index_diachronica_original.html:1380, ; (seems to be a sporadic change
6.2.2.1.7,Classical Arabic to Egyptian Arabic,Egyptian-Arabic-i-u,index_diachronica_original.html:1382, / [-long] ! 
6.2.2.1.7,Classical Arabic to Egyptian Arabic,Egyptian-Arabic-aj-aw,index_diachronica_original.html:1384, / 
6.2.2.1.7,Classical Arabic to Egyptian Arabic,Egyptian-Arabic-aː,index_diachronica_original.html:1393," / _[+ emphatic], [+ emphatic]_ ; near emphatics"
6.2.2.1.7,Classical Arabic to Egyptian Arabic,Egyptian-Arabic-h,index_diachronica_original.html:1401," / :{ _#, _% }: ; in coda"
6.2.2.1.8,Classical Arabic to Coastal Hadhrami Arabic,Coastal-Hadhrami-Arabic-aː,index_diachronica_original.html:1409, / sporadic ; in Form VI
6.2.2.1.8,Classical Arabic to Coastal Hadhrami Arabic,Coastal-Hadhrami-Arabic-aː_2,index_diachronica_original.html:1410," / ! _[+ emphatic], [+ emphatic]_"
6.2.2.1.8,Classical Arabic to Coastal Hadhrami Arabic,Coastal-Hadhrami-Arabic-V-long,index_diachronica_original.html:1412, sporadic ; in some words
6.2.2.1.9,Classical Arabic to Wādı̄ Hadhrami Arabic,Wādı̄-Hadhrami-Arabic-aː,index_diachronica_original.html:1420, / sporadic ; in Form VI
