from,to,use_regex,reason
"“The PIE rules for the voicing of s → z, as in [nizdos] for *nisdos, are assumed to apply”","s → z / C[+voice]_",False,"*nisdos > nizdos"
"“In contrast, Romanian exhibits","; “In contrast, Romanian exhibits",False,"comment"
ew (→ øj) → yj,ew → øj → yj,False,chaining
(→ ʕ),→ ʕ,False,chaining
bw mw → ɡw ŋw (→ ɡ ŋ / _V[+ rounded]),bw mw → ɡw ŋw → ɡ ŋ / _V[+ rounded],False,chaining
q (→ kw ?) → v ,q → kw → v ,False,chaining
w (→ v?) → f,w → v → f,False,chaining
ɛː → ɛi (→ əi?),ɛː → ɛi → əi,False,chaining
a → ɒ? (→ o),a → ɒ → o,False,chaining
nd ld (→ nː lː ?),nd ld → nː lː,False,chaining
"ɣ → q (more likely, *ɢ → q instead of → ɣ)","ɣ → q ; (more likely, *ɢ → q instead of → ɣ)",False,comment
" / at word boundaries"," / #_, _#",False,replace prose
" ! at word boundaries"," ! #_, _#",False,replace prose
" / unstressed"," / _[-stress]",False,replace prose
" / stressed"," / _[+stress]",False,replace prose
" / adjacent to short u"," / u[-long]_, _u[-long]",False,replace prose
" / unless adjacent to another consonant"," / ! C_,_C",False,replace prose
" / adjacent to {"," / _,{",False,replace prose
" ! adjacent to {"," ! _,{",False,replace prose
" / adjacent to a vowel"," / V_, _V",False,replace prose
" / near emphatics"," / _[+ emphatic], [+ emphatic]_",False,replace prose
" / when not near emphatics"," / ! _[+ emphatic], [+ emphatic]_",False,replace prose
" / in Mentasta Ahtna"," / sporadic ; in Mentasta Ahtna",False,replace prose
" / in certain situations"," / sporadic ; in certain situations",False,replace prose
" / in some dialects"," / sporadic ; in some dialects",False,replace prose
" / in some northern"," / sporadic ; in some northern",False,replace prose
" / in northern dialects"," / sporadic ; in northern dialects",False,replace prose
" / in southern regions"," / sporadic ; in southern regions",False,replace prose
" / in southern dialects"," / sporadic ; in southern dialects",False,replace prose
" (in southern dialects"," sporadic ; (in southern dialects",False,replace prose
" (in some regions"," sporadic ; (in some regions",False,replace prose
" (some dialects"," sporadic ; (some dialects",False,replace prose
" (most dialects"," ; (most dialects",False,replace prose
" / “in some positions”"," / sporadic ; “in some positions”",False,replace prose
" ! in Ware Sekani"," sporadic ; not in Ware Sekani",False,replace prose
" ! in Queensland"," sporadic ; not in Queensland",False,replace prose
" / depending on the environment"," / sporadic ; depending on the environment",False,replace prose
" / (“when in unstressed penult"," / sporadic ; (“when in unstressed penult",False,replace prose
" / some sequences"," / sporadic ; some sequences",False,replace prose
" (some exceptions"," ; sporadic (some exceptions",False,replace prose
", in the feminine ending"," sporadic ; in the feminine ending",False,replace prose
" / _Ra (short a only)"," / _Ra sporadic ; (short a only)",False,replace prose
" / “[b]etween the last two vowels of a proparoxytone”"," / sporadic ; “[b]etween the last two vowels of a proparoxytone”",False,replace prose
"There seems to ahve been some stuff going on"," ; There seems to ahve been some stuff going on",False,comment
" (“[a]rchaic relic”)"," ; (“[a]rchaic relic”)",False,comment
" / when stem-final"," / _%# ; when stem-final",False,"replace prose - this is an approximation and may be wrong"
" / when-stem final"," / _%# ; when-stem final",False,"replace prose - this is an approximation and may be wrong"
" (→ yː sometimes)"," → yː / sporadic ; (→ yː sometimes)",False,workaround - we can't handle different envs for chained rules
" (→ i in most descendants"," → i / sporadic ; (→ i in most descendants",False,workaround - we can't handle different envs for chained rules
" (not sure what "," ; (not sure what ",False,comment
" “(before a prefix; "," ; “(before a prefix; ",False,comment
" (note that PAn might "," ; (note that PAn might ",False,comment
" (again, "," ; (again, ",False,comment
" (Blevins "," ; (Blevins ",False,comment
" (first change marked "," ; (first change marked ",False,comment
" (?; included here based on ","; ; (?; included here based on ",False,comment
" (at least one instance of "," ; (at least one instance of ",False,comment
" (conditioning unclear)", " / sporadic ; (conditioning unclear)",False,comment
" / syllable-initially (h → ɦ?)"," / $_ ; (h → ɦ?)",False,replace prose
" / syllable-initially"," / $_ ",False,replace 
" / if short and unstressed"," / _[-long, -stress]",False,replace prose
"k ʃk → k* kː / V_V ","ʃk → kː / V_V ; k ʃk → k* kː / V_V ",False,unresolvable symbol
"w (→ b?) → m","w → b → m",False,chaining
"VN → V[+nasal] → V → (?)","VN → V[+nasal] → V",False,unresolvable symbol
" (→ b seems more common)"," ; (→ b seems more common)",False,replace prose
"(kʷ → ɡʷ → ɡ ?)","kʷ → ɡʷ → ɡ / sporadic ; (kʷ → ɡʷ → ɡ ?)",False,workaround
"C[+ affricate]","O:[+delrel]",False,asca syntax replacement
" (velar fricative is conjectured"," ; (velar fricative is conjectured",False,comment
" (fricative changes to approximant)"," ; (fricative changes to approximant)",False,comment
" (Whimemsz says"," ; (Whimemsz says",False,comment
"*L","L",False,liquids - may be too broad
"*j","j",False,may be too broad
"*r","r",False,may be too broad
" ʰS "," Sʰ ",False,I have no idea what ʰS  is supposed to represent - I'm assuming it's a typo for Sʰ
"+ A POA","α place",False,Point of articulation - asca syntax alpha notation
"+ B POA","β place",False,Point of articulation - asca syntax alpha notation
"ATR","atr",False,Lowercase feature name
"RTR","rtr",False,Lowercase feature name
" / only when short, ! "," / _[-long] ! ",False,replace prose
" / short only, _#"," / _[-long]#",False,replace prose
" _%, when stressed (short only)"," _[+stress, -long]:%",False,replace prose
" / near gutturals"," / _[+laryngeal], [+laryngeal]_",False,replace prose
" / in two cases cited"," / sporadic ; in two cases cited",False,replace prose
" / in some unaccented syllables"," / sporadic ; in some unaccented syllables",False,replace prose
" / in some unstressed syllables"," / sporadic ; in some unstressed syllables",False,replace prose
" / in inland varieties"," / sporadic ; in inland varieties",False,replace prose
" / in diminutives"," / sporadic ; diminutives",False,replace prose
" / in nominal suffixes"," / sporadic ; nominal suffixes",False,replace prose
" / unclear conditioning"," / sporadic ; unclear conditioning",False,replace prose
" (seems to be a sporadic change"," ; (seems to be a sporadic change",False,comment
" / in "," / ",False,replace prose
" ! in "," ! ",False,replace prose


