idx,word,usage
001,about,prep
002,over,prep
003,across (at / to the other side of),prep
004,after (in the future of),prep
006,at,prep
007,because of,prep
008,before / in front of,prep
009,before,prep
00A,in back of,prep
00B,between / among,prep
00D,with,prep
00F,other than,prep
010,for (for the purpose of),prep
011,for (in exchange for),prep
012,from / out of,prep
013,in,prep
015,like,prep
016,near,prep
017,of,prep
018,of,prep
019,on,prep
01B,than,prep/conj
01C,through,prep
01D,to / at,prep
01E,under,prep
01F,with,prep
020,with no...,prep
021,be,v
023,become,v
024,cause,v
025,make,v
026,do,v
027,have,v
028,is/are able to...,aux/v/pres
02A,this,adj/pron
02B,that,adj/pron
02C,and,conj
02D,but,conj
02E,if / on condition that,conj
02F,or,conj
030,that,conj
033,here (in/to this place),adv
034,how?,adv
036,not,adv
037,only,adv
038,there (at/to that place),adv
039,together,adv
03A,when?,adv
03B,where?,adv
03C,why?,adv
03D,any,adj
03E,every,adj
03F,person,n
040,baby,n
042,boy,n
043,girl,n
044,man,n
045,woman,n
046,family,n
047,father,n
048,mother,n
04C,son,n
04D,daughter,n
04E,brother,n
04F,sister,n
050,chief,n
05B,friend,n
061,society,n
062,committee,n
066,nation,n
067,public,n
06C,arm,n
06D,back,n
06F,blood,n
070,body,n
071,bone,n
072,brain,n
076,chest,n
077,chin,n
078,ear,n
079,egg,n
07A,eye,n
07B,face,n
07C,feather,n
07F,finger,n
081,foot,n
084,hair,n
085,hair,n
086,hand,n
087,head,n
088,heart,n
08B,horn (bone-like growth from animal's head),n
08F,knee,n
090,leg,n
091,lip,n
094,meat,n
095,mouth,n
096,muscle,n
097,nail / finger nail,n
099,neck,n
09A,nerve,n
09B,nose,n
0A2,skin,n
0A4,stomach,n
0A6,tail,n
0A9,throat,n
0AA,thumb,n
0AB,toe,n
0AC,tongue (body-part),n
0AD,tooth,n
0B0,blood vessel,n
0B2,wing (of bird),n
0B3,wound,n
0B5,berry (small fruit),n
0B7,flower,n
0B8,fruit,n
0B9,leaf,n
0BA,nut,n
0BC,root (of a plant),n
0BD,seed,n
0C0,dead,adj
0C1,birth,n
0C3,healthy,adj
0C4,disease,n
0C5,fat,adj
0C6,sex,n
0C7,female,adj
0C8,male,adj
0CA,sense,n
0CB,pain,n
0CC,pleasure,n
0CD,tired,adj
0CF,sleep,v/vn
0D0,awake,adj
0D2,bite,v/vn
0D6,have sex (with),v
0D8,cry out,v/vn
0D9,cry,v/vn
0DC,drink,v/vn
0E3,jump,v/vn
0E4,kick,v/vn
0E6,kiss,v/vn
0E7,laugh,v/vn
0EA,run,v/vn
0ED,smile,v/vn
0EE,sneeze,v/vn
0F3,swim,v/vn
0F4,taste,v/vn
0F6,touch,v/vn
0F8,walk,v/vn
0FA,animal,n
0FB,ant,n
0FD,bee,n
0FE,bird,n
100,cat,n
103,cow,n
105,dog,n
108,fish,n
109,fly,n
10C,goat,n
10E,horse,n
10F,insect,n
115,monkey,n
118,pig,n
11B,sheep,n
11C,snake,n
125,worm,n
126,apple,n
12D,cork,n
12F,cotton,n
139,grass,n
146,orange,n
14D,potato,n
14E,rice,n
15B,garden,n
15C,grain,n
15E,plant,n
15F,tree,n
164,cloud,n
166,earth,n
169,field,n
16F,island,n
172,moon,n
173,mountain,n
176,rain,n
178,river,n
17A,sky,n
17B,snow,n
17C,star,n
17E,sun,n
180,thunder,n
186,weather,n
187,wind,n
18C,rod,n
18E,basket,n
18F,bed,n
190,bell,n
191,blade,n
193,board,n
195,bottle,n
198,box,n
199,brake,n
19A,brick,n
19C,brush,n
19F,button,n
1A4,chain,n
1A7,clock,n
