section_index,rule_id,error_token,rule
10.2.2,Chamorro-i-u_2,,"i u > e o / CC# | ^^ @ Rule 1, Line 1"
10.5.1,Jarawa-∅,,"∅ > a / h#_ | ^ @ Rule 1, Line 1"
15.2.8,Unaaliq-Yup’ik-C,,"C > C:[+long] / _V(..)V, after #% | ^^^^^^ @ Rule 1, Line 1"
17.5.1,Old-Irish-p-t-k-kʷ-b-d-ɡ-∅,,"p t k kʷ b d ɡ > b d ɡ ɡʷ mb nd ŋɡ n / n#_V:[+stress] | ^ @ Rule 1, Line 1"
17.7.2.1.2,Kentish-Middle-English-ɑ-e-o,,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // in #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^^^ @ Rule 1, Line 1"
17.7.2.1.3,Midlands-Middle-English-ɑ-e-o,,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // in #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^^^ @ Rule 1, Line 1"
17.7.2.1.8,Northern-Middle-English-ɑ-e-o,,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // in #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^^^ @ Rule 1, Line 1"
17.7.2.1.12,Southern-Middle-English-ɑ-e-o,,"ɑ e o > ɑ:[+long] ɛ:[+long] o:[+long] / _ %[+lo] // in #% with the following % containing i:[+long] or ending in one of /m n r l/ | ^^^ @ Rule 1, Line 1"
17.7.3.1,Old-Norse-waː-naː,,"wa:[+long] na:[+long] > o:[+long] no:[+long] / $u in #% | ^^^^^^ @ Rule 1, Line 1"
17.11.1,"Polish-—-ь,ъ",,"{ɪ,ɤ} > e / iambic counting from %# or a syllable not containing a yer | ^^^^^^^^^^^^^^^^^^^^^^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-V,,"V > ∅ / V:[+stress]$L(C)(C){V,VC}# | ^^^^^^^^^^^^^^^^^^^^^^^^^ @ Rule 1, Line 1"
18.4.3,Guajajara-a_2,,"a > ə / if N in %# | ^^^^^^^^^ @ Rule 1, Line 1"
