section_index,rule_id,error_token,rule
10.4.1,"Marshallese-ç,s-x",ᵚ,"{ç,s} x > tᵚ | ^ @ Rule 1, Line 1"
12.1,"Proto-Abazgi-pʷ,pʲ-pʲː,bˤ-bʷ-pʷʲ-bʷʲ",ː,"{pʷ,pʲ} {pː,pʲː,b:[-atr,+rtr]} bʷ pʷʲ bʷʲ > p b f tsʲ dzʲ | ^ @ Rule 1, Line 1"
12.3,Ubykh-tʷː-tʷʲʼ,ː,"{tː,tʷː} tʷʲ:[+cg] > {t,tʷ} tʷ:[+cg] | ^ @ Rule 1, Line 1"
12.3,Ubykh-tsʲː-tsʷː-dzʲ,ː,"{tsː,tsʲː} tsʷ:[+long] dzʲ > ts tsʷ dz | ^ @ Rule 1, Line 1"
17.7.4,Vandalic-eː,ː,"eː:[-stress] > i / _ | ^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-iː,ː,"iː:[+stress] > i / _ | ^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-uː,ː,"uː:[+stress] > u / _ | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-C,₂,"C > ∅ / C=1 _C=2 // C₂ = {r,l} | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-C,₂,"C > ∅ / C=1 _C=2 // C₂ = L | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-k_6,₂,"k > ɡ / V=1 _V=2 // V₂ = ɔ | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/dɾ/-ðɾ,ð,"dɾ [ðɾ] > ɾ / V_V | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"ʝ {[ʝ,dʒ]} > [ʒ | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"ʝ {[ʝ,dʒ]} > dʒ] | ^ @ Rule 1, Line 1"
20.2.1,ÇHoan-ⁿQʰ-Q͡ɢ,͡,"N Q:[+spread,+voice] Q͡ɢ > {C:[-front:[+spread],+back:[+spread],-hi:[+spread],-lo]:[+spread],[+click]:[+spread]} {C:[-front,+back,-hi,-lo],[+click]} | ^ @ Rule 1, Line 1"
20.2.3,"Southeastern-!Xun-ⁿQʰ-ǀʰ͜q,ǀʰ͜ɢ-Q͡q",͡,"N Q:[+spread,+voice] {ǀ:[+spread,+voice]͡q,ǀ:[+spread,+voice]͡ɢ} Q͡q > ⁿ{C:[-front,+back,-hi,-lo],[+click]}(ʰ) ⁿǀ:[+spread,+voice] {C:[-front,+back,-hi,-lo],[+click]}[+voice] | ^ @ Rule 1, Line 1"
35.1.2,Chilliwack-Halkomelem-V3ʔ,ː,"V:[tone: 55]ʔ > {V:[tone: 55],Vː:[tone: 55]} / _# | ^ @ Rule 1, Line 1"
35.1.9,Saanich-Northern-Straits-V3h,ː,"V:[tone: 55]h > {V:[tone: 55],Vː:[tone: 55]} / _C | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-Cʲ,̣,"C:[+cor,+dist] > C {a,F̣}_ | ^ @ Rule 1, Line 1"
36.1.1.1,Modern-Pekingese-kʰ-h,͡,"{k,kʰ} h > {ɕ͡,ɕ͡ʰ} ɕ / _j | ^ @ Rule 1, Line 1"
37.1.2.1,Cayuga-V1”V2-”V1ːV2,ː,"V=1 V:[+stress]=2 1:[+stress] ː2 > 1:[+stress] 2 1:[+stress] [-long]2 | ^ @ Rule 1, Line 1"
40.2,"Proto-Totonacan-e,ɨ-ḛ-ɨ̰",ḭ,"{e,ɨ} {e ɨ̰} > i ḭ | ^ @ Rule 1, Line 1"
42.1,Pre-Finnic-ɤː?-ɑː-æː,ː,"{ɤ:[+stress],ɤ:[+long, +stress]} ɑ:[+long, +stress] æ:[+long, +stress] > {ɑ,ɑː} o:[+long] e:[+long] / _ | ^ @ Rule 1, Line 1"
44.2,Basque-s̺_2,̺,"s:[+dist,+cor,+ant] > ʃ̺according to Campbell | ^ @ Rule 1, Line 1"
47.1,List-1:-Simple-Consonant-Changes-b,#,"b > #c, -nc- | ^ @ Rule 1, Line 1"
