section_index,rule_id,alt_idx,source,ok,timestamp
17.12.1.1.6,Old-Provençal-β_6,,index_diachronica_original.html:7860,1,2026-09-19T10:03:00Z
17.12.1.1.6,Old-Provençal-rtʃj,,index_diachronica_original.html:7916,1,2026-09-19T10:03:00Z
17.12.1.1.6,"Old-Provençal-sːj,stʃj,stj",,index_diachronica_original.html:7926,1,2026-09-19T10:03:00Z
17.12.1.1.6,Old-Provençal-tj,,index_diachronica_original.html:7932,1,2026-09-19T10:03:00Z
17.12.1.1.6,Old-Provençal-ndt-ndtʃ-ntʃ-nkt-nf,,index_diachronica_original.html:7936,1,2026-09-19T10:03:00Z
17.5.1,"Old-Irish-—-p,t_2",,index_diachronica_original.html:5550,1,2026-09-19T13:09:05Z
17.12.1.1.10,Spanish-h,,index_diachronica_original.html:8199,1,2026-09-19T13:09:05Z
42.1,Pre-Finnic-ŋ,,index_diachronica_original.html:13762,1,2026-09-19T13:09:05Z
44.2,Basque-V_3,,index_diachronica_original.html:14200,1,2026-09-19T13:09:05Z
44.2,Basque-i_3,,index_diachronica_original.html:14201,1,2026-09-19T13:09:05Z
44.2,"Basque-u-o,e",,index_diachronica_original.html:14202,1,2026-09-19T13:09:05Z
10.3.11.3.1,Kwamera-ə_2,,index_diachronica_original.html:3653,0,2026-09-19T13:17:50Z
17.7.2.3,Standard-German-V_4,,index_diachronica_original.html:6119,1,2026-09-19T13:17:50Z
17.7.2.3,Standard-German-ə,,index_diachronica_original.html:6120,1,2026-09-19T13:17:50Z
17.7.4,Vandalic-eː,,index_diachronica_original.html:6541,0,2026-09-19T13:17:50Z
17.11.1,Polish-jь,,index_diachronica_original.html:7047,1,2026-09-19T13:17:50Z
17.11.1,Polish-ã,,index_diachronica_original.html:7063,1,2026-09-19T13:17:50Z
17.11.1,Polish-trk,,index_diachronica_original.html:7144,1,2026-09-19T13:17:50Z
17.12.1.1.2,Catalan-iː,,index_diachronica_original.html:7351,0,2026-09-19T13:17:50Z
17.12.1.1.2,Catalan-uː,,index_diachronica_original.html:7356,0,2026-09-19T13:17:50Z
17.12.1.1.3,French-V,,index_diachronica_original.html:7500,1,2026-09-19T13:17:50Z
17.12.1.1.7,Rhaeto-Romance-a,,index_diachronica_original.html:7992,1,2026-09-19T13:17:50Z
18.1.1,Eastern-Bakairi-ɾ,,index_diachronica_original.html:8334,1,2026-09-19T13:17:50Z
18.1.2,Western-Bakairi-ɾ,,index_diachronica_original.html:8346,1,2026-09-19T13:17:50Z
32.1.1,Papabuco-Chatino-e_3,,index_diachronica_original.html:10804,1,2026-09-19T13:17:50Z
32.1.3,Yaitepec-Chatino-s_2,,index_diachronica_original.html:10850,1,2026-09-19T13:17:50Z
36.3.2.1,bTshan-La-w,,index_diachronica_original.html:11999,1,2026-09-19T13:17:50Z
41.5.1.2,North-Fore-ʔ,,index_diachronica_original.html:13588,1,2026-09-19T13:17:50Z
41.5.1.3,South-Fore-ʔ,,index_diachronica_original.html:13595,1,2026-09-19T13:17:50Z
6.1.1.1,Bench-x1,,index_diachronica_original.html:993,0,2026-09-19T13:42:24Z
6.1.1.1,Bench-x2,,index_diachronica_original.html:994,0,2026-09-19T13:42:24Z
6.1.1.1,Bench-x2-s3,,index_diachronica_original.html:995,0,2026-09-19T13:42:24Z
6.1.1.2,Dizin-x1,,index_diachronica_original.html:1009,0,2026-09-19T13:42:24Z
6.1.1.2,Dizin-x2,,index_diachronica_original.html:1010,0,2026-09-19T13:42:24Z
6.1.1.2,Dizin-x2_2,,index_diachronica_original.html:1011,0,2026-09-19T13:42:24Z
6.1.1.3,Kafa-x1,,index_diachronica_original.html:1028,0,2026-09-19T13:42:24Z
6.1.1.3,Kafa-x2,,index_diachronica_original.html:1029,0,2026-09-19T13:42:24Z
6.1.1.3,Kafa-x2_2,,index_diachronica_original.html:1030,0,2026-09-19T13:42:24Z
6.1.1.4,Maale-x1,,index_diachronica_original.html:1049,0,2026-09-19T13:42:24Z
6.1.1.4,Maale-x2,,index_diachronica_original.html:1050,0,2026-09-19T13:42:24Z
6.1.1.4,Maale-x2_2,,index_diachronica_original.html:1051,0,2026-09-19T13:42:24Z
6.1.1.5,Shekkacho-x1,,index_diachronica_original.html:1070,0,2026-09-19T13:42:24Z
6.1.1.5,Shekkacho-x2,,index_diachronica_original.html:1071,0,2026-09-19T13:42:24Z
6.1.1.6,Wolaytta-x1,,index_diachronica_original.html:1090,0,2026-09-19T13:42:24Z
6.1.1.6,Wolaytta-x2,,index_diachronica_original.html:1091,0,2026-09-19T13:42:24Z
6.1.1.6,Wolaytta-x2-s3,,index_diachronica_original.html:1092,0,2026-09-19T13:42:24Z
6.1.1.7,Yemsa-x1,,index_diachronica_original.html:1107,0,2026-09-19T13:42:24Z
6.1.1.7,Yemsa-x2,,index_diachronica_original.html:1108,0,2026-09-19T13:42:24Z
6.1.1.7,Yemsa-x2_2,,index_diachronica_original.html:1109,0,2026-09-19T13:42:24Z
6.1.1.8,Zayse-Zergulla-x1,,index_diachronica_original.html:1129,0,2026-09-19T13:42:24Z
6.1.1.8,Zayse-Zergulla-x2,,index_diachronica_original.html:1130,0,2026-09-19T13:42:24Z
6.1.1.8,Zayse-Zergulla-x2_2,,index_diachronica_original.html:1131,0,2026-09-19T13:42:24Z
6.1.1.8,Zayse-Zergulla-x2_3,,index_diachronica_original.html:1132,0,2026-09-19T13:42:24Z
6.1.1.8,Zayse-Zergulla-x3,,index_diachronica_original.html:1133,0,2026-09-19T13:42:24Z
6.2.2.1.14,Moroccan-Arabic-t,,index_diachronica_original.html:1467,1,2026-09-19T13:42:24Z
10.2.6.2.1,"Òma-Lóngh-p,t-n",,index_diachronica_original.html:3050,1,2026-09-19T13:42:24Z
10.3.8,Tolomako-m-b,,index_diachronica_original.html:3424,1,2026-09-19T13:42:24Z
14.2,Achaemanid-Elamite-r̀,,index_diachronica_original.html:4526,1,2026-09-19T13:42:24Z
14.2,Achaemanid-Elamite-nr̀,,index_diachronica_original.html:4528,1,2026-09-19T13:42:24Z
17.11.1,Polish-ɕtɕ,,index_diachronica_original.html:7111,1,2026-09-19T13:42:24Z
17.11.1,Polish-r̝̊-r̝,,index_diachronica_original.html:7118,1,2026-09-19T13:42:24Z
17.11.1,Polish-dz-ts,,index_diachronica_original.html:7152,1,2026-09-19T13:42:24Z
17.11.1,Polish-rʲ,,index_diachronica_original.html:7166,1,2026-09-19T13:42:24Z
21.2.2.1,Biritai-k,,index_diachronica_original.html:8988,1,2026-09-19T13:42:24Z
21.2.2.2,Doutai-V,,index_diachronica_original.html:8997,1,2026-09-19T13:42:24Z
21.2.2.5,Obokuitai-b-C,,index_diachronica_original.html:9023,1,2026-09-19T13:42:24Z
21.2.2.7,Waritai-k,,index_diachronica_original.html:9046,1,2026-09-19T13:42:24Z
30.1.1,Proto-Bantu_2-d2,,index_diachronica_original.html:10464,1,2026-09-19T13:42:24Z
30.1.2,"Proto-Manenguba-p-t-’t-’d,d2-c-k-’k",1,index_diachronica_original.html:10543,1,2026-09-19T13:42:24Z
37.1.2.6,Tuscarora-n-r-w-j,,index_diachronica_original.html:12710,1,2026-09-19T13:42:24Z
37.1.2.6.1,Western-Tuscarora-r̥-w̥-j̊,,index_diachronica_original.html:12718,1,2026-09-19T13:42:24Z
42.1.1.1,Proto-Finnish-pː-tː-tsː-kː,,index_diachronica_original.html:13830,1,2026-09-19T13:42:24Z
42.1.1.1,Proto-Finnish-ts-tsˑ-tsː,,index_diachronica_original.html:13847,1,2026-09-19T13:42:24Z
43.1,Comanche-∅,,index_diachronica_original.html:13966,1,2026-09-19T13:42:24Z
43.1,Comanche-s,,index_diachronica_original.html:13967,1,2026-09-19T13:42:24Z
43.2,Hopi-p,,index_diachronica_original.html:13974,1,2026-09-19T13:42:24Z
43.2,Hopi-w_2,,index_diachronica_original.html:13979,1,2026-09-19T13:42:24Z
43.3,Luiseño-p,,index_diachronica_original.html:13985,1,2026-09-19T13:42:24Z
43.3,Luiseño-k_2,,index_diachronica_original.html:13990,1,2026-09-19T13:42:24Z
43.4,Nahuatl-p,,index_diachronica_original.html:14003,1,2026-09-19T13:42:24Z
43.6,Tohono-O’odham-p,,index_diachronica_original.html:14049,1,2026-09-19T13:42:24Z
44.2,Basque-u-ũ_2,,index_diachronica_original.html:14143,1,2026-09-19T13:42:24Z
44.2,Basque-∅_3,,index_diachronica_original.html:14147,1,2026-09-19T13:42:24Z
44.2,Basque-∅_4,,index_diachronica_original.html:14160,1,2026-09-19T13:42:24Z
44.2,Basque-s̻-ts̻,,index_diachronica_original.html:14176,1,2026-09-19T13:42:24Z
44.2,Basque-aʊ,,index_diachronica_original.html:14210,1,2026-09-19T13:42:24Z
44.2,Basque-s̻-ts̺,,index_diachronica_original.html:14225,1,2026-09-19T13:42:24Z
44.2,Basque-s̻,,index_diachronica_original.html:14226,1,2026-09-19T13:42:24Z
44.2,Basque-its̺,,index_diachronica_original.html:14228,1,2026-09-19T13:42:24Z
44.2,Basque-s̺,,index_diachronica_original.html:14231,1,2026-09-19T13:42:24Z
6.1.1.1,Bench-x1,,index_diachronica_original.html:993,1,2026-09-19T13:43:55Z
6.1.1.1,Bench-x2,,index_diachronica_original.html:994,1,2026-09-19T13:43:55Z
6.1.1.1,Bench-x2-s3,,index_diachronica_original.html:995,1,2026-09-19T13:43:55Z
6.1.1.2,Dizin-x1,,index_diachronica_original.html:1009,1,2026-09-19T13:43:55Z
6.1.1.2,Dizin-x2,,index_diachronica_original.html:1010,1,2026-09-19T13:43:55Z
6.1.1.2,Dizin-x2_2,,index_diachronica_original.html:1011,1,2026-09-19T13:43:55Z
6.1.1.3,Kafa-x1,,index_diachronica_original.html:1028,1,2026-09-19T13:43:55Z
6.1.1.3,Kafa-x2,,index_diachronica_original.html:1029,1,2026-09-19T13:43:55Z
6.1.1.3,Kafa-x2_2,,index_diachronica_original.html:1030,1,2026-09-19T13:43:55Z
6.1.1.4,Maale-x1,,index_diachronica_original.html:1049,1,2026-09-19T13:43:55Z
6.1.1.4,Maale-x2,,index_diachronica_original.html:1050,1,2026-09-19T13:43:55Z
6.1.1.4,Maale-x2_2,,index_diachronica_original.html:1051,1,2026-09-19T13:43:55Z
6.1.1.5,Shekkacho-x1,,index_diachronica_original.html:1070,1,2026-09-19T13:43:55Z
6.1.1.5,Shekkacho-x2,,index_diachronica_original.html:1071,1,2026-09-19T13:43:55Z
6.1.1.6,Wolaytta-x1,,index_diachronica_original.html:1090,1,2026-09-19T13:43:55Z
6.1.1.6,Wolaytta-x2,,index_diachronica_original.html:1091,1,2026-09-19T13:43:55Z
6.1.1.6,Wolaytta-x2-s3,,index_diachronica_original.html:1092,1,2026-09-19T13:43:55Z
6.1.1.7,Yemsa-x1,,index_diachronica_original.html:1107,1,2026-09-19T13:43:55Z
6.1.1.7,Yemsa-x2,,index_diachronica_original.html:1108,1,2026-09-19T13:43:55Z
