section_index,rule_id,error_token,rule
10.3.9.3,"Tanibili-r,l",,"l > ∅?) | ^ @ Rule 1, Line 2"
11.5.6,Udi-q-qʼ-qːʼ-ɢ,,"q q:[+cg] q:[+long,+cg] ɢ > ∅ q:[+cg] ɣ | ^ @ Rule 1, Line 1"
17.11.1,"Polish-—-ь,ъ_2",,"{ɪ,ɤ} > ∅] / even syllables counting iambic from %# or a syllable not containing a yer | ^ @ Rule 1, Line 1"
25.1.1,Cavineña-*ŕ,,"*r > r | ^ @ Rule 1, Line 1"
25.1.3,Reyesano-*ŕ,,"*r > ∅ | ^ @ Rule 1, Line 1"
25.1.4,Tacana-*ŕ,,"*r > ∅ | ^ @ Rule 1, Line 1"
36.3.2.2.2,lCog-Rtse-*w,,"*w > ʔ / something to do either with back vowels or prefixes | ^ @ Rule 1, Line 1"
44.2,Basque-Sʰ,,"h > ∅) / #_ | ^ @ Rule 1, Line 3"
44.2,Basque-h…h,,"h…h > ∅…h | ^ @ Rule 1, Line 1"
44.2,Basque-*-ɾ,,"*-ɾ > -h stuff in compounds | ^ @ Rule 1, Line 1"
