,error,count
0,"Syntax Error: Cannot have nested brackets of the same type     |     { z, d͡z, ɡ } > { ɡ, {z,d͡z}, ɡʷ }     |                          ^     @ Rule 1, Line 1",1
1,"Syntax Error: Cannot have nested brackets of the same type     |     { kʼ, kʷʼ } > { {ɣ,q}, ɣʷ }     |                     ^     @ Rule 1, Line 1",1
2,"Syntax Error: Cannot have nested brackets of the same type     |     { {t͡s,t͡ʃ}, z, d͡z } > { ʃ, d, d͡ʒ }     |       ^     @ Rule 1, Line 1",1
3,"Syntax Error: Cannot have nested brackets of the same type     |     { {t͡s,t͡ʃ}, d͡z } > { ʃ, d͡ʒ }     |       ^     @ Rule 1, Line 1",1
4,"Syntax Error: Cannot have nested brackets of the same type     |     { {e,o}, {i,u} } > { a, ə }     |       ^     @ Rule 1, Line 1",1
5,thread '<unnamed>' (3003360) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace  thread '<unnamed>' (3003361) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003374) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003366) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003366) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003366) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003374) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003367) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003373) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003359) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003362) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003372) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003368) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003370) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003363) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003361) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003361) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003365) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003364) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003374) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003360) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty  thread '<unnamed>' (3003364) panicked at /home/pappa/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/asca-0.9.3/src/rule/subrule.rs:2134:56: Output is not empty,1
6,"Syntax Error: Expected '->', but received -'f' at 0:0:61     |     z > d / when another strident is in the word nearby and (word-finally?) when noun-stem final     |                                                                  ^     @ Rule 1, Line 1",1
7,"Syntax Error: Cannot have nested brackets of the same type     |     { {ʃ,t͡s,z}, d͡z, t͡ʃ, {tʼ,t͡ʃʼ}, d͡ʒ } > { s, z, t͡s, t͡sʼ, d͡ʒ }     |       ^     @ Rule 1, Line 1",1
8,"Syntax Error: Expected number, but received ɡ      |     CVʕ > ħʔ // C = ɡʷ     |                     ^     @ Rule 1, Line 1",1
9,"Syntax Error: Expected '>', '->' or '=>', but received 'ʷ'     |     [+ cons, - fr, + bk, + hi, - lo]ʷ > [+ cons, - fr, + bk, + hi, - lo]     |                                     ^     @ Rule 1, Line 1",1
10,"Syntax Error: Unknown feature 'dental' at 0:29-36. Did you mean ldental?      |     q > i / #_V{[+continuant],C:[+dental]}     |                                  ^^^^^^^     @ Rule 1, Line 1",1
11,"Syntax Error: Unknown feature 'dental' at 0:12-19. Did you mean ldental?      |     q > ʔ / _C:[+dental]     |                 ^^^^^^^     @ Rule 1, Line 1",1
12,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-sonorant]     |     tlʼ > dl / #_Vħr     |      ^^     @ Rule 1, Line 1",1
13,"Syntax Error: Unknown feature 'palatal' at 0:18-26. Did you mean latrl?      |     O:[+lateral] > O:[+palatal]     |                       ^^^^^^^^     @ Rule 1, Line 1",1
14,"Syntax Error: Expected '_', but received ','     |     r > ʔ / :{ C_t# ,m,n,r,w,ʃ,x}, C_w# ,m,n,r,w,ʃ,x}, C_j# ,m,n,r,w,ʃ,x} }: // C = {ɡ     |                       ^     @ Rule 1, Line 1",1
15,"Syntax Error: Can't have segments after the end of a word     |     r > l / #(C)_c(C)# ?     |                      ^     @ Rule 1, Line 1",1
16,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-sonorant]     |     tlʼ > ɬ / _C:[+strident]     |      ^^     @ Rule 1, Line 1",1
17,"Syntax Error: Expected '..', but received .' ' at 0:0:56     |     s > ʃ, h / in anaphora and certain derivational prefixes. . .:[t]his is common to many other Semitic languages as well     |                                                             ^     @ Rule 1, Line 1",1
18,"Syntax Error: Expected '_', but received ','     |     m > n / in certain context͡s, notably in the nunation     |                                 ^     @ Rule 1, Line 1",1
19,"Syntax Error: Expected '_', but received ''     |     V{j,w}V > a:[+long] / some sequences     |                                         ^     @ Rule 1, Line 1",1
20,"Syntax Error: Unknown character : at '0:0:2'.     |     S > :[+voice] / :{ V_V, S_V }:     |       ^     @ Rule 1, Line 1",1
21,"Syntax Error: Unknown character : at '0:0:2'.     |     S > :[+voice] / V_S     |       ^     @ Rule 1, Line 1",1
22,"Syntax Error: Expected ',', but received ':'     |     { k, x } > { c, ç } / :{ _j, _:[+front] }:     |                                   ^     @ Rule 1, Line 1",1
23,"Syntax Error: Expected '_', but received ''     |     j > c / {O,r}     |                  ^     @ Rule 1, Line 1",1
24,"Runtime Error: Grouped Environments cannot (yet) be used in insertion rules     |     ∅ > F / :{ N_O, N_r }: // m_f     |             ^^^^^^^^^^^^^^     @ Rule 1, Line 1",1
25,"Syntax Error: Expected end of line, received ':'. Did you forget a '/' between the output and environment?     |     { j, j:[+long] } > ∅ / V_:[+front]     |                              ^     @ Rule 1, Line 1",1
26,"Syntax Error: Unknown feature 'phargyn' at 0:14-22. Did you mean pharyn?      |     i > a / :{ C:[+phargyn]_q, C:[+phargyn]_ɣ, C:[+phargyn]_ʕ }:     |                   ^^^^^^^^     @ Rule 1, Line 1",1
27,"Syntax Error: Expected ',', but received 'ˤ'     |     i > a / :{ q_Cˤ, ɣ_Cˤ, ʕ_Cˤ }:     |                   ^     @ Rule 1, Line 1",1
28,"Syntax Error: Expected '_', but received ''     |     a > i / _C(C),     |                   ^     @ Rule 1, Line 1",1
29,"Syntax Error: Expected '_', but received ''     |     {u,a,i} > ∅ / _%, ()     |                         ^     @ Rule 1, Line 1",1
30,"Syntax Error: Expected '_', but received ''     |     a > ∅ / _t, in the feminine ending     |                                       ^     @ Rule 1, Line 1",1
31,"Syntax Error: Unknown feature 'phargyn' at 0:22-30. Did you mean pharyn?      |     a:[+long] > a / :{ C:[+phargyn]_#, w_# }:     |                           ^^^^^^^^     @ Rule 1, Line 1",1
32,"Syntax Error: Unknown character ’ at '0:0:93'.     |     { θ, ð } > { t, d } / usually in numbers or cases where a short vowel has been deleted and it’s in contact with another stop, e.g. C:[+affricate]/MS:[+affricate] kaˈθi:[+long]r →:[+front]:[+affricate] kti:[+long]r     |                                                                                                  ^     @ Rule 1, Line 1",1
33,"Syntax Error: Expected '..', but received .'g' at 0:0:68     |     dˤ > zˤ (seems to be a sporadic change only affecting a few words, e.g. C:[+affricate]/MS:[+affricate] ˈdˤa:[+long]bitˤ     |                                                                         ^     @ Rule 1, Line 1",1
34,"Syntax Error: Expected '..', but received .'g' at 0:0:63     |     zˤ (seems to be a sporadic change only affecting a few words, e.g. C:[+affricate]/MS:[+affricate] ˈdˤa:[+long]bitˤ > :[+front]:[+affricate] ˈzˤa:[+long]bitˤ)     |                                                                    ^     @ Rule 1, Line 1",1
35,"Syntax Error: Expected '_', but received ','     |     { i, u } > { e, o } / , // _#     |                           ^     @ Rule 1, Line 1",1
36,"Syntax Error: Expected '_', but received ','     |     u > o, u / , _#     |                ^     @ Rule 1, Line 1",1
37,"Syntax Error: Unknown feature 'closed' at 0:46-53. Did you mean cons?      |     { aj, aw } > { e:[+long], o:[+long] } / in %:[+closed]     |                                                   ^^^^^^^     @ Rule 1, Line 1",1
38,"Syntax Error: Expected an IPA character, Primative or Matrix, but received ':'     |     V:[+long] > V / C_C{:[+long],C}V     |                         ^     @ Rule 1, Line 1",1
39,"Syntax Error: Expected an IPA character, Primative or Matrix, but received ''     |     { a, a:[+long] } > { æ, æ:[+long] } / (     |                                            ^     @ Rule 1, Line 1",1
40,"Syntax Error: Expected '->', but received -':' at 0:0:52     |     q > ʔ / except in several words, two of which are al-:[+click]âhira and musîqâ     |                                                         ^     @ Rule 1, Line 1",1
41,"Syntax Error: Cannot have nested brackets of the same type     |     {{s,z}(ˤ),ʒ}ʃ > ʃ:[+long]     |      ^     @ Rule 1, Line 1",1
