rule,returncode,error
6.1.rsca,1,"Syntax Error: Unknown character ₂ at '1:10:5'.     |     ʃ > s₂ / {i,j}_     |          ^     @ Rule 2, Line 11"
6.1.1.rsca,1,"Syntax Error: Unknown character + at '1:16:22'.     |     V:[+long] > V / #C_C$ + $(V)C$ suffix     |                           ^     @ Rule 2, Line 17"
6.1.1.1.rsca,1,"Syntax Error: Unknown character ₂ at '1:2:1'.     |     x₂ s₃ > ∅ ʃ / V_V     |      ^     @ Rule 2, Line 3"
6.1.1.2.rsca,1,"Syntax Error: Unknown character ₓ at '1:8:1'.     |     sₓ > tʃ     |      ^     @ Rule 2, Line 9"
6.1.1.3.rsca,1,"Syntax Error: Unknown character ₃ at '1:11:1'.     |     s₃ > s / V_$#     |      ^     @ Rule 2, Line 12"
6.1.1.4.rsca,1,"Syntax Error: Unknown character ₓ at '1:8:1'.     |     sₓ > ʃ     |      ^     @ Rule 2, Line 9"
6.1.1.5.rsca,1,"Syntax Error: Unknown character ₂ at '1:15:1'.     |     s₂ > ʃ     |      ^     @ Rule 2, Line 16"
6.1.1.6.rsca,1,"Syntax Error: Unknown character ₂ at '1:4:1'.     |     x₂ s₃ > k ʃ / V_$#     |      ^     @ Rule 2, Line 5"
6.1.1.7.rsca,1,"Syntax Error: Unknown character ₁ at '1:4:1'.     |     x₁ > k     |      ^     @ Rule 2, Line 5"
6.1.1.8.rsca,1,"Syntax Error: Unknown character ₃ at '1:8:1'.     |     x₃ > ɡ / V_#     |      ^     @ Rule 2, Line 9"
6.1.2.1.rsca,1,"Syntax Error: Unknown character ₁ at '1:5:1'.     |     s₁ s₂ s₃ > ʃ z tʃ     |      ^     @ Rule 2, Line 6"
6.1.2.2.rsca,1,"Syntax Error: Unknown character ₂ at '1:6:1'.     |     s₂ s₃ > tʃ:[+long] tʃ / V_     |      ^     @ Rule 2, Line 7"
6.2.rsca,0,
6.2.1.rsca,0,
6.2.1.1.1.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received 'ʷ'     |     {x,ɢ}(ʷ) > ɣ(ʷ)     |           ^     @ Rule 2, Line 3"
6.2.1.1.2.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received 'ʷ'     |     ɢ(ʷ) > x(ʷ) / else     |       ^     @ Rule 2, Line 2"
6.2.1.1.3.rsca,1,"Syntax Error: Expected ',', but received 's'     |     {ts,tʃ} dz > ʃ dʒ     |       ^     @ Rule 2, Line 4"
6.2.1.1.4.rsca,1,"Syntax Error: Expected ',', but received '('     |     k > {k(ʼ),q}     |           ^     @ Rule 2, Line 5"
6.2.2.rsca,1,"Syntax Error: Unknown character “ at '1:3:12'.     |     $VC$ > $CV$ “(This last rule turned all VC roots into CV)”     |                 ^     @ Rule 2, Line 4"
6.2.2.1.rsca,1,"Syntax Error: Expected ',', but received 's'     |     ts dz {t,ts}ʼ tʃʼ > s z sʼ ʃʼ     |               ^     @ Rule 2, Line 3"
6.2.2.1.1.rsca,1,"Syntax Error: Unknown character “ at '1:4:11'.     |     V > ∅ / _# “in nominals”     |                ^     @ Rule 2, Line 5"
6.2.2.1.2.rsca,1,"Syntax Error: Unknown feature 'dental' at 23:12-19. Did you mean ldental?      |     q > ʔ / _C:[+dental]     |                 ^^^^^^^     @ Rule 2, Line 24"
6.2.2.1.3.rsca,1,"Syntax Error: Can't have segments after the end of a word     |     r > l / #(C)_c(C)# ?     |                      ^     @ Rule 2, Line 7"
6.2.2.1.4.rsca,1,"Syntax Error: Unknown feature 'sibilant' at 2:14-23. Did you mean sonorant?      |     tlʼ > ɬ / _C:[+sibilant]     |                   ^^^^^^^^^     @ Rule 2, Line 3"
6.2.2.1.5.rsca,1,"Syntax Error: Unknown character “ at '1:9:8'.     |     m > n / “in certain contexts, notably in the nunation”     |             ^     @ Rule 2, Line 10"
6.2.2.1.6.rsca,1,"Syntax Error: Unknown character : at '1:2:2'.     |     S > :[+voice] / {V,R}_V     |       ^     @ Rule 2, Line 3"
6.2.2.1.7.rsca,1,"Syntax Error: Cannot have nested brackets of the same type     |     {{s,z}(ˤ),ʒ}ʃ > ʃ:[+long]     |      ^     @ Rule 2, Line 19"
6.2.2.1.8.rsca,1,"Syntax Error: Unknown character ā at '1:3:39'.     |     a:[+long] > e:[+long] / in Form VI (tafā‘ala) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions     |                                            ^     @ Rule 2, Line 4"
6.2.2.1.9.rsca,1,"Syntax Error: Unknown character ā at '1:3:39'.     |     a:[+long] > e:[+long] / in Form VI (tafā‘ala) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions     |                                            ^     @ Rule 2, Line 4"
6.2.2.1.10.rsca,1,"Syntax Error: Unknown character — at '1:9:0'.     |     — j w > i u / #_CV     |     ^     @ Rule 2, Line 10"
6.2.2.1.11.rsca,1,"Syntax Error: Expected end of line, received '('. Did you forget a '/' between the output and environment?     |     k q > tʃ {ɡ,q} (ɡ is more common)     |                    ^     @ Rule 2, Line 1"
6.2.2.1.12.rsca,1,"Syntax Error: Expected end of line, received '('. Did you forget a '/' between the output and environment?     |     aj aw > e(:[+long],j) o(:[+long],w)     |              ^     @ Rule 2, Line 2"
6.2.2.1.13.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received 'ˤ'     |     θ ð(ˤ) > t d(ˤ)     |         ^     @ Rule 2, Line 2"
6.2.2.1.14.rsca,1,"Syntax Error: Unknown feature 'velar' at 3:11-17. Did you mean delay?      |     C:[+labial/+velar] > ʷ / adjacent to short u     |                ^^^^^^     @ Rule 2, Line 4"
6.2.2.1.15.rsca,0,
6.2.2.1.16.rsca,1,"Syntax Error: Expected end of line, received '('. Did you forget a '/' between the output and environment?     |     { u, u:[+long] } > {ɵ,o}(:[+long])     |                             ^     @ Rule 2, Line 2"
6.2.2.1.17.rsca,1,"Syntax Error: Expected end of line, received '('. Did you forget a '/' between the output and environment?     |     a > ɛ (sometimes)     |           ^     @ Rule 2, Line 2"
6.2.2.1.18.rsca,1,"Syntax Error: Unknown character — at '1:4:0'.     |     — i:[+long] > e:[+long] / _#     |     ^     @ Rule 2, Line 5"
6.2.2.1.19.rsca,1,"Syntax Error: Cannot have nested brackets of the same type     |     {{ e, e:[+long] },ɛ} > ɛ     |      ^     @ Rule 2, Line 1"
7.1.rsca,1,"Syntax Error: Could not get value of IPA 'ǃ'.     |     j > ∅ / _# ! P_     |                ^     @ Rule 2, Line 13"
7.2.rsca,1,"Syntax Error: Unknown grouping 'R'. Known groupings are (C)onsonant, (O)bstruent, (S)onorant, (P)losive, (F)ricative, (L)iquid, (N)asal, (G)lide, and (V)owel     |     N > ∅ / _RO     |              ^     @ Rule 2, Line 3"
7.3.rsca,1,"Syntax Error: Unknown grouping 'W'. Known groupings are (C)onsonant, (O)bstruent, (S)onorant, (P)losive, (F)ricative, (L)iquid, (N)asal, (G)lide, and (V)owel     |     (W)V > ∅ / _#     |      ^     @ Rule 2, Line 1"
7.3.1.rsca,1,"Syntax Error: Options can only be used in Environments or Structures     |     (V:[-long])N > ∅ / _#     |     ^^^^^^^^^^^     @ Rule 2, Line 10"
7.3.2.rsca,1,"Syntax Error: Options can only be used in Environments or Structures     |     (V:[-long])N > ∅ / _#     |     ^^^^^^^^^^^     @ Rule 2, Line 8"
7.4.rsca,1,"Syntax Error: Could not get value of IPA 'ǃ'.     |     h > ∅ / ! _C     |             ^     @ Rule 2, Line 4"
7.5.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '∅'     |     p > {t,∅} / near consonants     |            ^     @ Rule 2, Line 11"
7.6.rsca,1,"Syntax Error: Options can only be used in Environments or Structures     |     (t)ʃp > sp     |     ^^^     @ Rule 2, Line 10"
7.7.rsca,1,"Syntax Error: Malformed Comment: Expected ';;', but received '; ' at 1:14:32     |     ʃ > {ʃ,s} / in inland varieties; remains /ʃ/ in coastal varieties     |                                     ^     @ Rule 2, Line 15"
7.8.rsca,1,"Syntax Error: Options can only be used in Environments or Structures     |     (t)ʃp > sp     |     ^^^     @ Rule 2, Line 10"
7.9.rsca,1,"Syntax Error: Expected end of line, received '('. Did you forget a '/' between the output and environment?     |     e > i (short only)     |           ^     @ Rule 2, Line 2"
7.10.rsca,1,"Syntax Error: Options can only be used in Environments or Structures     |     (t)ʃp > sp     |     ^^^     @ Rule 2, Line 9"
7.11.rsca,1,"Syntax Error: Unknown feature 'weak' at 23:3-8. Did you mean man?      |     ə:[+weak] > ∅ / #_C     |        ^^^^^     @ Rule 2, Line 24"
7.12.rsca,1,"Syntax Error: Unknown character “ at '1:14:15'.     |     e > i / _{k,m} “when in the second syllable of glottal words”     |                    ^     @ Rule 2, Line 15"
7.13.rsca,1,"Syntax Error: Expected ',', but received 'ʃ'     |     {θ,ʃ,tʃ,ç,x,ʔ} > h / _C     |           ^     @ Rule 2, Line 14"
7.14.rsca,1,"Syntax Error: Expected end of line, received '∅'. Did you forget a '/' between the output and environment?     |     ʔ{θ,ʃ} ʔl > s ∅     |                   ^     @ Rule 2, Line 4"
7.15.rsca,1,"Syntax Error: Expected '->', but received -'t' at 1:10:77     |     {w,j}V:[-long] > ∅ / V:[+long]_# (Whimemsz is unsure if this change is across-the-board or not)     |                                                                                  ^     @ Rule 2, Line 11"
7.16.rsca,1,"Syntax Error: Expected '_', but received ''     |     e > o / unclear conditioning     |                                 ^     @ Rule 2, Line 3"
7.17.rsca,1,"Syntax Error: Unknown grouping 'H'. Known groupings are (C)onsonant, (O)bstruent, (S)onorant, (P)losive, (F)ricative, (L)iquid, (N)asal, (G)lide, and (V)owel     |     r > s / H_     |             ^     @ Rule 2, Line 2"
8.1.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '∅'     |     ŋ > {∅,n} #_ else     |          ^     @ Rule 2, Line 22"
8.1.1.rsca,1,"Syntax Error: Options can only be used in Environments or Structures     |     (w)e > je     |     ^^^     @ Rule 2, Line 3"
