index,name,rule_count
6,Afro-Asiatic,0
6.1,Proto-Afro-Asiatic to Proto-Omotic,12
6.1.1,Proto-Omotic to North Omotic,18
6.1.1.1,North Omotic to Bench,9
6.1.1.2,North Omotic to Dizin,13
6.1.1.3,North Omotic to Kafa,18
6.1.1.4,North Omotic to Maale,13
6.1.1.5,North Omotic to Shekkacho,22
6.1.1.6,North Omotic to Wolaytta,11
6.1.1.7,North Omotic to Yemsa,18
6.1.1.8,North Omotic to Zayse-Zergulla,15
6.1.2,South Omotic,0
6.1.2.1,South Omotic to Aari,7
6.1.2.2,South Omotic to Dime,7
6.2,Proto-Afro-Asiatic to Proto-Erythrean,1
6.2.1,Proto-Erythrean to Proto-Cushitic,3
6.2.1.1,Agaw,0
6.2.1.1.1,Proto-Agaw to Awngi,5
6.2.1.1.2,Proto-Agaw to Blin,4
6.2.1.1.3,Proto-Agaw to Kemantney,8
6.2.1.1.4,Proto-Agaw to Xamtanga,8
6.2.2,Proto-Erythrean to Proto-North Erythrean,5
6.2.2.1,Proto-North Erythrean to Proto-Chadic,4
6.2.2.1.1,Proto-North Erythrean to Proto-Boreafrasian,6
6.2.2.1.2,Proto-Boreafrasian to Egypto-Berber,35
6.2.2.1.3,Ancient Egyptian to Coptic,8
6.2.2.1.4,Proto-Boreafrasian to Proto-Semitic,8
6.2.2.1.5,Proto-Semitic to Classical Arabic,11
6.2.2.1.6,Classical Arabic to Cypriot Arabic,38
6.2.2.1.7,Classical Arabic to Egyptian Arabic,21
6.2.2.1.8,Classical Arabic to Coastal Hadhrami Arabic,6
6.2.2.1.9,Classical Arabic to Wādı̄ Hadhrami Arabic,6
6.2.2.1.10,Classical Arabic to Hassāniyya Arabic,11
6.2.2.1.11,Classical Arabic to Iraqi Arabic,4
6.2.2.1.12,Classical Arabic to Eastern Libyan Arabic,3
6.2.2.1.13,Classical Arabic to Western Libyan Arabic,4
6.2.2.1.14,Classical Arabic to Moroccan Arabic,18
6.2.2.1.15,Classical Arabic to Sa‘idi Arabic,1
6.2.2.1.16,Classical Arabic to Sudanese Arabic,2
6.2.2.1.17,Classical Arabic to Tunisian Arabic,7
6.2.2.1.18,Proto-Semitic to Biblical Hebrew,33
6.2.2.1.19,Biblical Hebrew to Modern Israeli Hebrew,13
7,Algonquian,0
7.1,Proto-Algonquian to Kennebec River Abenaki,24
7.2,Proto-Algonquian to St. Francis Abenaki,24
7.3,Proto-Algonquian to Proto-Arapaho-Atsina,18
7.3.1,Proto-Arapaho-Atsina to Arapaho,16
7.3.2,Proto-Arapaho-Atsina to Gros Ventre,10
7.4,Proto-Algonquian to Blackfoot,58
7.5,Proto-Algonquian to Cheyenne,12
7.6,Proto-Algonquian to Northern East Cree,18
7.7,Proto-Algonquian to Southern East Cree,19
