country_code,syllable_structure
afr,(C)(C)V(C)(C)
aka,(C)V(C)
als,(C)(C)V(C)(C)
amh,(C)V(C)(C)
ara,(C)V(C)(C)
arw,(C)V(C)
asm,(C)(C)V(C)
awa,(C)V(C)
aym,(C)V(C)
azb,(C)(C)V(C)(C)
aze,(C)(C)V(C)(C)
bak,(C)(C)(C)V(C)(C)(C)
bal,(C)V(C)
bcl,(C)(C)V(C)
bel,(C)(C)V(C)(C)(C)
bem,(C)V(C)
ben,(C)V(C)
ber,(C)(C)V(C)
bhk,(C)(C)V(C)
bho,(C)(C)(C)V(C)(C)
bik,(C)(C)V(C)
bis,(C)V(C)
bla,(C)(C)V(C)
bod,(C)V(C)
bod,(C)(C)V(C)(C)
bre,(C)V(C)(C)
brh,(C)V(C)
bug,(C)(C)V(C)
bul,(C)(C)V(C)(C)
bur,(C)V(C)
cak,(C)(C)V(C)
cat,(C)(C)V(C)(C)
cdo,(C)(G)V(N)
ceb,(C)(C)V(C)
ces,(C)(C)V(C)(C)
cha,(C)V(C)
chk,(C)V(C)
chm,(C)V(C)
chn,(C)V(C)
cho,(C)V(C)
chp,(C)V(C)
chr,(C)V(C)(C)
chy,(C)V(C)
cop,(C)V(C)
cos,(C)(C)V(C)
cpp,(C)V(C)
crh,(C)V(C)
csb,(C)(C)V(C)(C)
cwd,(C)V(C)
cym,(C)(C)V(C)(C)
dak,(C)(C)V(C)
dan,(C)(C)V(C)(C)
dar,(C)(C)V(C)
dav,(C)V(C)
deu,(C)(C)(C)V(C)(C)(C)(C)
dgo,(C)(C)V(C)(C)
dik,(C)V(C)
div,(C)(C)V(C)
doi,(C)(C)V(C)
dsb,(C)(C)V(C)(C)
dyu,(C)V(C)
dzo,(C)V(C)
dzo,(C)(C)V(C)(C)
efi,(C)V(C)
eka,(C)V(C)
ell,(C)V(C)(C)
ell,(C)(C)V(C)(C)
eng,(C)(C)(C)V(C)(C)(C)
epo,(C)V(C)
est,(C)(C)V(C)(C)
eus,(C)(C)V(C)(C)
ewe,(C)V(C)
fao,(C)(C)V(C)(C)
fas,(C)V(C)(C)
fij,(C)V(C)
fil,(C)(C)V(C)
fin,(C)V(C)(C)
fon,(C)V(C)
fra,(C)V(C)(C)
fry,(C)(C)(C)V(C)(C)(C)
fuc,(C)(C)V(C)
ful,(C)V(C)
ful,(C)(C)V(C)
fur,(C)V(C)
gaa,(C)V(C)
gag,(C)V(C)
gla,(C)V(C)(C)
gle,(C)(C)V(C)(C)
gle,(C)V(C)(C)
gle,(C)(C)V(C)
glg,(C)(C)V(C)(C)
grn,(C)V(C)
gsw,(C)(C)(C)V(C)(C)(C)
guj,(C)(C)V(C)(C)
hat,(C)V(C)
hau,(C)V(C)
haw,(C)V(C)
heb,(C)(C)V(C)(C)
her,(C)V(C)
hin,(C)(C)(C)V(C)(C)(C)
hne,(C)(C)(C)V(C)(C)(C)
hrv,(C)V(C)(C)
hun,(C)(C)V(C)(C)(C)
hup,(C)V(C)
hye,(C)(C)V(C)(C)
ibo,(C)V(C)
ilo,(C)(C)V(C)
ind,(C)V(C)
inh,(C)(C)V(C)
isl,(C)(C)(C)V(C)(C)(C)
isl,(C)(C)V(C)(C)
ita,(C)(C)V(C)(C)
jam,(C)V(C)
jav,(C)V(C)
jbo,(C)V(C)
jpn,(C)V(N)
kaa,(C)V(C)
kab,(C)(C)V(C)
kal,(C)V(C)
kan,(C)(C)V(C)(C)
kas,(C)(C)V(C)(C)
kat,(C)(C)V(C)(C)
kaz,(C)(C)V(C)(C)
kaz,(C)(C)V(C)
khm,(C)V(C)
kin,(C)V(C)
kon,(C)V(C)
kor,(C)(G)V(C)
kua,(C)V(C)
lao,(C)V(C)
lat,(C)(C)V(C)(C)
lav,(C)(C)V(C)(C)
lin,(C)V(C)
lit,(C)(C)V(C)(C)
loz,(C)V(C)
lua,(C)V(C)
lug,(C)V(C)
luo,(C)V(C)
mal,(C)(C)V(C)(C)
mar,(C)(C)V(C)(C)
mkd,(C)(C)V(C)(C)
mlg,(C)(C)V(C)
mlt,(C)(C)V(C)(C)
mon,(C)(C)V(C)(C)
msa,(C)V(C)
mya,(C)V(C)
nep,(C)(C)V(C)(C)
nep,(C)(C)V(C)
nld,(C)(C)(C)V(C)(C)(C)
nor,(C)(C)(C)V(C)(C)(C)
nya,(C)V(C)
ori,(C)(C)V(C)
orm,(C)V(C)
pan,(C)(C)(C)V(C)(C)
pol,(C)(C)(C)V(C)(C)(C)
por,(C)V(C)(C)
ron,(C)V(C)(C)
run,(C)V(C)
rus,(C)(C)(C)V(C)(C)(C)
sag,(C)V(C)
san,(C)(C)V(C)(C)
sin,(C)(C)V(C)
sin,(C)(C)V(C)(C)
slk,(C)(C)V(C)(C)
smn,(C)(C)V(C)
sna,(C)(C)V(C)
som,(C)(C)V(C)(C)
sot,(C)(C)V(C)
spa,(C)V(C)
sqi,(C)(C)V(C)(C)
srp,(C)V(C)(C)
ssw,(C)V(C)
sun,(C)V(C)
swa,(C)V(C)
swe,(C)(C)(C)V(C)(C)(C)
tam,(C)(C)V(C)(C)
tel,(C)(C)V(C)(C)
tgl,(C)(C)V(C)
tha,(C)V(C)
tir,(C)V(C)(C)
tsn,(C)(C)V(C)
tso,(C)V(C)
tuk,(C)V(C)(C)
tur,(C)V(C)(C)
ukr,(C)(C)V(C)(C)(C)
urd,(C)(C)(C)V(C)(C)(C)
uzb,(C)(C)V(C)(C)
vie,(C)V(C)
xho,(C)V(C)
yor,(C)V(C)
zho,(C)(G)V(N)
zul,(C)V(C)
