,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
0,001,about,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,002,over,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,003,across (at / to the other side of),adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,004,after (in the future of),adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,006,at,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,007,because of,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,008,before / in front of,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,009,before,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,00A,in back of,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,00B,between / among,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,00D,with,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,00F,other than,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,010,for (for the purpose of),adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,011,for (in exchange for),adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,012,from / out of,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,013,in,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,015,like,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,016,near,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,017,of,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,018,of,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,019,on,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,01B,than,adpositions,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,01C,through,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,01D,to / at,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,01E,under,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,01F,with,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,020,with no...,adpositions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,021,be,function words,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,023,become,function words,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,024,cause,function words,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,025,make,function words,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,026,do,function words,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,027,have,function words,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,028,is/are able to...,function words,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,02A,this,function words,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,02B,that,function words,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,02C,and,function words,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,02D,but,function words,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,02E,if / on condition that,function words,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,02F,or,function words,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,030,that,function words,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,033,here (in/to this place),function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,034,how?,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,036,not,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,037,only,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,038,there (at/to that place),function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,039,together,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,03A,when?,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,03B,where?,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,03C,why?,function words,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,03D,any,function words,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,03E,every,function words,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,03F,person,people,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,040,baby,people,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,042,boy,people,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,043,girl,people,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,044,man,people,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
