section,unmapped_series
6.1.1.1,hₓ
6.1.1.8,x₃
6.2.2.1.14,C₁ C₂ ˤC₂
10.2.1,C₁ C₂
10.2.2,V₀
10.2.3,C₁ C₂
10.2.4.1,C₁ C₂
10.2.4.2,V₀
10.2.6,V₀ V₁ _V₀ _V₂
10.2.6.1,V₀
10.3.2,V₀
10.3.3,CV₁ CV₂ C”V₂
10.3.4,C”V₂ V₀ V₁ V₂ _”V₂
10.3.12,CV₁ CV₂ C”V₂
10.6,S₁ d₁ d₂ d₃ t₁
10.7,S₁ d₁ d₂ d₃ t₁
15.1,nV₁ nV₂
15.2.1,C₀ VC₀
15.2.2,F₁ F₂ S₁ S₂ U₁ U₂
15.2.3,C₀ VC₀
17.2,eh₂ h₃
17.2.1,h₃
17.2.2,h₃
17.2.3,h₃
17.2.4,h₃
17.2.5,h₃
17.4.1,hₓ
17.5,C₁ C₂ eh₁ eh₂ eh₃ h₃ xC₂
17.8.1,Hₓ
17.8.2,Hₓ
17.8.3,Hₓ
17.8.4,Hₓ
17.8.5,Hₓ
17.8.6,Hₓ
17.8.7,Hₓ
17.8.8,Hₓ
17.8.9,Hₓ
17.8.10,Hₓ
17.9,_h₂ _h₃ h₃
17.10,Bʱ₁ Bʱ₂ B₁ P₂ _h₃ eh₃ h₃ o₂
17.10.1,Sh₂
17.10.1.1,C₁ C₂
17.10.1.2,C₁ C₂
17.10.1.3,C₁ C₂
17.10.1.4,C₁ C₂
17.12.1.1,C₁ C₂ C₃ C₄ V₁ V₂ …V₂
17.12.1.1.2,C₁ C₂ _C₂
17.12.1.1.3,C₀ C₁ C₂ V₀ _C₂
17.12.1.1.5,C₀ C₁ C₂ V₀ V₁ V₂ _C₂ _V₂
17.12.1.1.8,V₀
17.13,eh₂ eh₃ h₃ ih₁ uh₁
18.4.2,V₀ ʔV₀
28.1.2,V₀ V₁ V₂ kV₂ xV₀
28.1.3,V₀ _V₀
28.1.5,V₀ _V₀
28.2,C₁ C₂
30.1.1,C₁ C₂ d₂
30.1.2,C₁ C₂ d₂
30.2,V₁
31.1,V₀ _V₀
35.1.2,V₀ ”V₀
35.1.3,3ʔV₀ V₀
35.1.4,3ʔV₀ V₀
35.1.5,3ʔV₀ V₀
35.1.7,V₀ ”V₀
37.1.2.1,V₀ V₁ V₂ ːV₂ ”V₀ ”V₁ ”V₂
37.1.2.4,CV₀ CʔV₀ ʔV₀
37.1.2.4.1,V₀
37.1.2.5,V₁ V₂ ”V₁ ”V₂
37.2.2,kV₀ mV₀ nV₀
37.2.3,CV₀ CʔV₀ kV₀ mV₀ nV₀ pV₀ rV₀ sV₀ ʃV₀ ʔV₀
37.2.4,kV₀ rV₀
37.2.4.1,rV₀ ʃV₀
37.2.4.2,kV₀ nV₀ pV₀ rV₀ sV₀ wV₀ ʃV₀
37.2.5,tV₀ wV₀
37.2.5.2,kV₀ rV₀ tsV₀
37.2.6.2,mV₀ nV₀
37.2.7.2,kV₀ lV₀
37.2.7.3,mV₀ nV₀ sV₀
41.5.2.4,N₁ N₂
42.1.1.1.1,VV₀ V₀ _V₀
43.1,Vₙ
43.2,Vₙ ɨₙ
43.3,Vₙ aₙ
43.4,Vₛ
43.6,Vₛ
46.14,i₂ æ₂
